Phone timestamp;RR-interval [ms]
2023-03-13T21:29:45.517;601
2023-03-13T21:29:46.118;592
2023-03-13T21:29:46.710;595
2023-03-13T21:29:47.305;628
2023-03-13T21:29:47.933;643
2023-03-13T21:29:48.576;647
2023-03-13T21:29:49.223;764
2023-03-13T21:29:49.987;671
2023-03-13T21:29:50.658;621
2023-03-13T21:29:51.279;615
2023-03-13T21:29:51.894;605
2023-03-13T21:29:52.499;586
2023-03-13T21:29:53.085;568
2023-03-13T21:29:53.653;572
2023-03-13T21:29:54.225;567
2023-03-13T21:29:54.792;557
2023-03-13T21:29:55.349;563
2023-03-13T21:29:55.912;597
2023-03-13T21:29:56.509;583
2023-03-13T21:29:57.092;576
2023-03-13T21:29:57.668;571
2023-03-13T21:29:58.239;570
2023-03-13T21:29:58.809;565
2023-03-13T21:29:59.374;572
2023-03-13T21:29:59.946;554
2023-03-13T21:30:00.500;551
2023-03-13T21:30:01.051;550
2023-03-13T21:30:01.601;532
2023-03-13T21:30:02.133;527
2023-03-13T21:30:02.660;526
2023-03-13T21:30:03.186;524
2023-03-13T21:30:03.710;523
2023-03-13T21:30:04.233;512
2023-03-13T21:30:04.745;513
2023-03-13T21:30:05.258;513
2023-03-13T21:30:05.771;503
2023-03-13T21:30:06.274;502
2023-03-13T21:30:06.776;496
2023-03-13T21:30:07.272;493
2023-03-13T21:30:07.765;492
2023-03-13T21:30:08.257;492
2023-03-13T21:30:08.749;488
2023-03-13T21:30:09.237;481
2023-03-13T21:30:09.718;479
2023-03-13T21:30:10.197;480
2023-03-13T21:30:10.677;475
2023-03-13T21:30:11.152;477
2023-03-13T21:30:11.629;475
2023-03-13T21:30:12.104;475
2023-03-13T21:30:12.579;466
2023-03-13T21:30:13.045;464
2023-03-13T21:30:13.509;464
2023-03-13T21:30:13.973;463
2023-03-13T21:30:14.436;456
2023-03-13T21:30:14.892;453
2023-03-13T21:30:15.345;450
2023-03-13T21:30:15.795;450
2023-03-13T21:30:16.245;449
2023-03-13T21:30:16.694;447
2023-03-13T21:30:17.141;442
2023-03-13T21:30:17.583;437
2023-03-13T21:30:18.020;439
2023-03-13T21:30:18.459;438
2023-03-13T21:30:18.897;435
2023-03-13T21:30:19.332;434
2023-03-13T21:30:19.766;428
2023-03-13T21:30:20.194;426
