Phone timestamp;RR-interval [ms]
2023-02-08T18:51:19.593;359
2023-02-08T18:51:19.952;359
2023-02-08T18:51:20.311;361
2023-02-08T18:51:20.672;362
2023-02-08T18:51:21.034;364
2023-02-08T18:51:21.398;719
2023-02-08T18:51:22.117;362
2023-02-08T18:51:22.479;363
2023-02-08T18:51:22.842;365
2023-02-08T18:51:23.207;365
2023-02-08T18:51:23.572;363
2023-02-08T18:51:23.935;364
2023-02-08T18:51:24.299;365
2023-02-08T18:51:24.664;366
2023-02-08T18:51:25.030;368
2023-02-08T18:51:25.398;369
2023-02-08T18:51:25.767;369
2023-02-08T18:51:26.136;370
2023-02-08T18:51:26.506;370
2023-02-08T18:51:26.876;372
2023-02-08T18:51:27.248;373
2023-02-08T18:51:27.621;370
2023-02-08T18:51:27.991;369
2023-02-08T18:51:28.360;368
2023-02-08T18:51:28.728;368
2023-02-08T18:51:29.096;373
2023-02-08T18:51:29.469;374
2023-02-08T18:51:29.843;371
2023-02-08T18:51:30.214;376
2023-02-08T18:51:30.590;378
2023-02-08T18:51:30.968;382
2023-02-08T18:51:31.350;383
2023-02-08T18:51:31.733;381
2023-02-08T18:51:32.114;382
2023-02-08T18:51:32.496;383
2023-02-08T18:51:32.879;386
2023-02-08T18:51:33.265;388
2023-02-08T18:51:33.653;388
2023-02-08T18:51:34.041;386
2023-02-08T18:51:34.427;385
2023-02-08T18:51:34.812;387
2023-02-08T18:51:35.199;386
2023-02-08T18:51:35.585;390
2023-02-08T18:51:35.975;391
2023-02-08T18:51:36.366;393
2023-02-08T18:51:36.759;395
2023-02-08T18:51:37.154;393
2023-02-08T18:51:37.547;392
2023-02-08T18:51:37.939;391
2023-02-08T18:51:38.330;391
2023-02-08T18:51:38.721;392
2023-02-08T18:51:39.113;392
2023-02-08T18:51:39.505;388
2023-02-08T18:51:39.893;387
2023-02-08T18:51:40.280;387
2023-02-08T18:51:40.667;390
2023-02-08T18:51:41.057;393
2023-02-08T18:51:41.450;400
2023-02-08T18:51:41.850;402
2023-02-08T18:51:42.252;401
2023-02-08T18:51:42.653;401
2023-02-08T18:51:43.054;401
2023-02-08T18:51:43.455;402
2023-02-08T18:51:43.857;397
2023-02-08T18:51:44.254;402
2023-02-08T18:51:44.656;402
2023-02-08T18:51:45.058;408
2023-02-08T18:51:45.466;407
2023-02-08T18:51:45.873;406
2023-02-08T18:51:46.279;405
2023-02-08T18:51:46.684;406
2023-02-08T18:51:47.090;407
2023-02-08T18:51:47.497;412
2023-02-08T18:51:47.909;416
2023-02-08T18:51:48.325;418
2023-02-08T18:51:48.743;417
2023-02-08T18:51:49.160;413
2023-02-08T18:51:49.573;414
2023-02-08T18:51:49.987;413
2023-02-08T18:51:50.400;413
2023-02-08T18:51:50.813;407
2023-02-08T18:51:51.220;408
2023-02-08T18:51:51.628;404
2023-02-08T18:51:52.032;401
2023-02-08T18:51:52.433;402
2023-02-08T18:51:52.835;404
2023-02-08T18:51:53.239;408
2023-02-08T18:51:53.647;407
2023-02-08T18:51:54.054;406
2023-02-08T18:51:54.460;406
2023-02-08T18:51:54.866;409
2023-02-08T18:51:55.275;409
2023-02-08T18:51:55.684;413
2023-02-08T18:51:56.097;418
2023-02-08T18:51:56.515;417
2023-02-08T18:51:56.932;420
2023-02-08T18:51:57.352;420
2023-02-08T18:51:57.772;419
2023-02-08T18:51:58.191;417
2023-02-08T18:51:58.608;413
2023-02-08T18:51:59.021;413
2023-02-08T18:51:59.434;417
2023-02-08T18:51:59.851;425
2023-02-08T18:52:00.276;428
2023-02-08T18:52:00.704;431
2023-02-08T18:52:01.135;431
2023-02-08T18:52:01.566;428
2023-02-08T18:52:01.994;431
2023-02-08T18:52:02.425;425
2023-02-08T18:52:02.850;422
2023-02-08T18:52:03.272;419
2023-02-08T18:52:03.691;420
2023-02-08T18:52:04.111;430
2023-02-08T18:52:04.541;446
2023-02-08T18:52:04.987;448
2023-02-08T18:52:05.435;446
2023-02-08T18:52:05.881;450
2023-02-08T18:52:06.331;458
2023-02-08T18:52:06.789;460
2023-02-08T18:52:07.249;456
2023-02-08T18:52:07.705;450
2023-02-08T18:52:08.155;447
2023-02-08T18:52:08.602;451
2023-02-08T18:52:09.053;450
2023-02-08T18:52:09.503;446
2023-02-08T18:52:09.949;441
2023-02-08T18:52:10.390;441
2023-02-08T18:52:10.831;444
2023-02-08T18:52:11.275;443
2023-02-08T18:52:11.718;438
2023-02-08T18:52:12.156;443
2023-02-08T18:52:12.599;444
2023-02-08T18:52:13.043;442
2023-02-08T18:52:13.485;442
2023-02-08T18:52:13.927;439
2023-02-08T18:52:14.366;438
2023-02-08T18:52:14.804;436
2023-02-08T18:52:15.240;430
2023-02-08T18:52:15.670;427
2023-02-08T18:52:16.097;423
2023-02-08T18:52:16.520;428
2023-02-08T18:52:16.948;446
2023-02-08T18:52:17.394;469
2023-02-08T18:52:17.863;495
2023-02-08T18:52:18.358;525
2023-02-08T18:52:18.883;549
2023-02-08T18:52:19.432;552
2023-02-08T18:52:19.984;525
2023-02-08T18:52:20.509;499
2023-02-08T18:52:21.008;481
2023-02-08T18:52:21.489;476
2023-02-08T18:52:21.965;462
2023-02-08T18:52:22.427;455
2023-02-08T18:52:22.882;447
2023-02-08T18:52:23.329;444
2023-02-08T18:52:23.773;438
2023-02-08T18:52:24.211;434
2023-02-08T18:52:24.645;428
2023-02-08T18:52:25.073;433
2023-02-08T18:52:25.506;440
2023-02-08T18:52:25.946;443
2023-02-08T18:52:26.389;443
2023-02-08T18:52:26.832;441
2023-02-08T18:52:27.273;451
2023-02-08T18:52:27.724;459
2023-02-08T18:52:28.183;460
2023-02-08T18:52:28.643;460
2023-02-08T18:52:29.103;457
2023-02-08T18:52:29.560;455
2023-02-08T18:52:30.015;451
2023-02-08T18:52:30.466;444
2023-02-08T18:52:30.910;441
2023-02-08T18:52:31.351;435
2023-02-08T18:52:31.786;433
2023-02-08T18:52:32.219;429
2023-02-08T18:52:32.648;428
2023-02-08T18:52:33.076;427
2023-02-08T18:52:33.503;425
2023-02-08T18:52:33.928;423
2023-02-08T18:52:34.351;428
2023-02-08T18:52:34.779;448
2023-02-08T18:52:35.227;531
2023-02-08T18:52:35.758;662
2023-02-08T18:52:36.420;597
2023-02-08T18:52:37.017;527
2023-02-08T18:52:37.544;487
2023-02-08T18:52:38.031;469
2023-02-08T18:52:38.500;459
2023-02-08T18:52:38.959;452
2023-02-08T18:52:39.411;445
2023-02-08T18:52:39.856;440
2023-02-08T18:52:40.296;435
2023-02-08T18:52:40.731;438
2023-02-08T18:52:41.169;440
2023-02-08T18:52:41.609;437
2023-02-08T18:52:42.046;434
2023-02-08T18:52:42.480;438
2023-02-08T18:52:42.918;440
2023-02-08T18:52:43.358;443
2023-02-08T18:52:43.801;446
2023-02-08T18:52:44.247;455
2023-02-08T18:52:44.702;453
2023-02-08T18:52:45.155;455
2023-02-08T18:52:45.610;454
2023-02-08T18:52:46.064;448
2023-02-08T18:52:46.512;441
2023-02-08T18:52:46.953;442
2023-02-08T18:52:47.395;440
2023-02-08T18:52:47.835;444
2023-02-08T18:52:48.279;445
2023-02-08T18:52:48.724;451
2023-02-08T18:52:49.175;450
2023-02-08T18:52:49.625;449
2023-02-08T18:52:50.074;449
2023-02-08T18:52:50.523;450
2023-02-08T18:52:50.973;448
2023-02-08T18:52:51.421;445
2023-02-08T18:52:51.866;443
2023-02-08T18:52:52.309;440
2023-02-08T18:52:52.749;447
2023-02-08T18:52:53.196;470
2023-02-08T18:52:53.666;493
2023-02-08T18:52:54.159;495
2023-02-08T18:52:54.654;505
2023-02-08T18:52:55.159;514
2023-02-08T18:52:55.673;520
2023-02-08T18:52:56.193;497
2023-02-08T18:52:56.690;485
2023-02-08T18:52:57.175;482
2023-02-08T18:52:57.657;476
2023-02-08T18:52:58.133;471
2023-02-08T18:52:58.604;465
2023-02-08T18:52:59.069;462
2023-02-08T18:52:59.531;457
2023-02-08T18:52:59.988;456
2023-02-08T18:53:00.444;454
2023-02-08T18:53:00.898;447
2023-02-08T18:53:01.345;444
2023-02-08T18:53:01.789;445
2023-02-08T18:53:02.234;441
2023-02-08T18:53:02.675;440
2023-02-08T18:53:03.115;438
2023-02-08T18:53:03.553;452
2023-02-08T18:53:04.005;487
2023-02-08T18:53:04.492;604
2023-02-08T18:53:05.096;568
2023-02-08T18:53:05.664;538
2023-02-08T18:53:06.202;528
2023-02-08T18:53:06.730;532
2023-02-08T18:53:07.262;521
2023-02-08T18:53:07.783;507
2023-02-08T18:53:08.290;490
2023-02-08T18:53:08.780;491
2023-02-08T18:53:09.271;485
2023-02-08T18:53:09.756;481
2023-02-08T18:53:10.237;476
2023-02-08T18:53:10.713;471
2023-02-08T18:53:11.184;469
2023-02-08T18:53:11.653;463
2023-02-08T18:53:12.116;456
2023-02-08T18:53:12.572;452
2023-02-08T18:53:13.024;447
2023-02-08T18:53:13.471;443
2023-02-08T18:53:13.914;444
2023-02-08T18:53:14.358;453
2023-02-08T18:53:14.811;465
2023-02-08T18:53:15.276;465
2023-02-08T18:53:15.741;466
2023-02-08T18:53:16.207;463
2023-02-08T18:53:16.670;470
2023-02-08T18:53:17.140;482
2023-02-08T18:53:17.622;485
2023-02-08T18:53:18.107;505
2023-02-08T18:53:18.612;506
2023-02-08T18:53:19.118;501
2023-02-08T18:53:19.619;494
2023-02-08T18:53:20.113;488
2023-02-08T18:53:20.601;480
2023-02-08T18:53:21.081;475
2023-02-08T18:53:21.556;466
2023-02-08T18:53:22.022;466
2023-02-08T18:53:22.488;464
2023-02-08T18:53:22.952;466
2023-02-08T18:53:23.418;467
2023-02-08T18:53:23.885;465
2023-02-08T18:53:24.350;463
2023-02-08T18:53:24.813;462
2023-02-08T18:53:25.275;455
2023-02-08T18:53:25.730;453
2023-02-08T18:53:26.183;452
2023-02-08T18:53:26.635;452
2023-02-08T18:53:27.087;456
2023-02-08T18:53:27.543;473
2023-02-08T18:53:28.016;500
2023-02-08T18:53:28.516;508
2023-02-08T18:53:29.024;518
2023-02-08T18:53:29.542;508
2023-02-08T18:53:30.050;501
2023-02-08T18:53:30.551;495
2023-02-08T18:53:31.046;482
2023-02-08T18:53:31.528;478
2023-02-08T18:53:32.006;469
2023-02-08T18:53:32.475;465
2023-02-08T18:53:32.940;462
2023-02-08T18:53:33.402;461
2023-02-08T18:53:33.863;464
2023-02-08T18:53:34.327;460
2023-02-08T18:53:34.787;457
2023-02-08T18:53:35.244;459
2023-02-08T18:53:35.703;460
2023-02-08T18:53:36.163;463
2023-02-08T18:53:36.626;467
2023-02-08T18:53:37.093;465
2023-02-08T18:53:37.558;465
2023-02-08T18:53:38.023;462
2023-02-08T18:53:38.485;469
2023-02-08T18:53:38.954;468
2023-02-08T18:53:39.422;476
2023-02-08T18:53:39.898;472
2023-02-08T18:53:40.370;470
2023-02-08T18:53:40.840;468
2023-02-08T18:53:41.308;466
2023-02-08T18:53:41.774;464
2023-02-08T18:53:42.238;464
2023-02-08T18:53:42.702;462
2023-02-08T18:53:43.164;460
2023-02-08T18:53:43.624;455
2023-02-08T18:53:44.079;452
2023-02-08T18:53:44.531;454
2023-02-08T18:53:44.985;455
2023-02-08T18:53:45.440;457
2023-02-08T18:53:45.897;458
2023-02-08T18:53:46.355;457
2023-02-08T18:53:46.812;452
2023-02-08T18:53:47.264;458
2023-02-08T18:53:47.722;459
2023-02-08T18:53:48.181;465
2023-02-08T18:53:48.646;468
2023-02-08T18:53:49.114;469
2023-02-08T18:53:49.583;466
2023-02-08T18:53:50.049;464
2023-02-08T18:53:50.513;467
2023-02-08T18:53:50.980;466
2023-02-08T18:53:51.446;466
2023-02-08T18:53:51.912;462
2023-02-08T18:53:52.374;459
2023-02-08T18:53:52.833;456
2023-02-08T18:53:53.289;454
2023-02-08T18:53:53.743;457
2023-02-08T18:53:54.200;459
2023-02-08T18:53:54.659;460
2023-02-08T18:53:55.119;460
2023-02-08T18:53:55.579;468
2023-02-08T18:53:56.047;480
2023-02-08T18:53:56.527;488
2023-02-08T18:53:57.015;495
2023-02-08T18:53:57.510;493
2023-02-08T18:53:58.003;486
2023-02-08T18:53:58.489;486
2023-02-08T18:53:58.975;485
2023-02-08T18:53:59.460;483
2023-02-08T18:53:59.943;482
2023-02-08T18:54:00.425;479
2023-02-08T18:54:00.904;477
2023-02-08T18:54:01.381;473
2023-02-08T18:54:01.854;470
2023-02-08T18:54:02.324;470
2023-02-08T18:54:02.794;471
2023-02-08T18:54:03.265;473
2023-02-08T18:54:03.738;475
2023-02-08T18:54:04.213;477
2023-02-08T18:54:04.690;475
2023-02-08T18:54:05.165;471
2023-02-08T18:54:05.636;470
2023-02-08T18:54:06.106;473
2023-02-08T18:54:06.579;474
2023-02-08T18:54:07.053;475
2023-02-08T18:54:07.528;478
2023-02-08T18:54:08.006;479
2023-02-08T18:54:08.485;481
2023-02-08T18:54:08.966;482
2023-02-08T18:54:09.448;484
2023-02-08T18:54:09.932;479
2023-02-08T18:54:10.411;479
2023-02-08T18:54:10.890;476
2023-02-08T18:54:11.366;473
2023-02-08T18:54:11.839;468
2023-02-08T18:54:12.307;469
2023-02-08T18:54:12.776;465
2023-02-08T18:54:13.241;467
2023-02-08T18:54:13.708;465
2023-02-08T18:54:14.173;466
2023-02-08T18:54:14.639;463
2023-02-08T18:54:15.102;469
2023-02-08T18:54:15.571;474
2023-02-08T18:54:16.045;479
2023-02-08T18:54:16.524;478
2023-02-08T18:54:17.002;476
2023-02-08T18:54:17.478;475
2023-02-08T18:54:17.953;473
2023-02-08T18:54:18.426;476
2023-02-08T18:54:18.902;472
2023-02-08T18:54:19.374;469
2023-02-08T18:54:19.843;476
2023-02-08T18:54:20.319;479
2023-02-08T18:54:20.798;485
2023-02-08T18:54:21.283;482
2023-02-08T18:54:21.765;484
2023-02-08T18:54:22.249;488
2023-02-08T18:54:22.737;496
2023-02-08T18:54:23.233;496
2023-02-08T18:54:23.729;499
2023-02-08T18:54:24.228;500
2023-02-08T18:54:24.728;497
2023-02-08T18:54:25.225;494
2023-02-08T18:54:25.719;489
2023-02-08T18:54:26.208;477
2023-02-08T18:54:26.685;474
2023-02-08T18:54:27.159;470
2023-02-08T18:54:27.629;464
2023-02-08T18:54:28.093;463
2023-02-08T18:54:28.556;468
2023-02-08T18:54:29.024;478
2023-02-08T18:54:29.502;478
2023-02-08T18:54:29.980;482
2023-02-08T18:54:30.462;494
2023-02-08T18:54:30.956;502
2023-02-08T18:54:31.458;500
2023-02-08T18:54:31.958;503
2023-02-08T18:54:32.461;505
2023-02-08T18:54:32.966;504
2023-02-08T18:54:33.470;499
2023-02-08T18:54:33.969;495
2023-02-08T18:54:34.464;494
2023-02-08T18:54:34.958;491
2023-02-08T18:54:35.449;489
2023-02-08T18:54:35.938;483
2023-02-08T18:54:36.421;484
2023-02-08T18:54:36.905;484
2023-02-08T18:54:37.389;479
2023-02-08T18:54:37.868;483
2023-02-08T18:54:38.351;484
2023-02-08T18:54:38.835;482
2023-02-08T18:54:39.317;480
2023-02-08T18:54:39.797;485
2023-02-08T18:54:40.282;485
2023-02-08T18:54:40.767;485
2023-02-08T18:54:41.252;485
2023-02-08T18:54:41.737;488
2023-02-08T18:54:42.225;495
2023-02-08T18:54:42.720;495
2023-02-08T18:54:43.215;500
2023-02-08T18:54:43.715;494
2023-02-08T18:54:44.209;495
2023-02-08T18:54:44.704;494
2023-02-08T18:54:45.198;493
2023-02-08T18:54:45.691;494
2023-02-08T18:54:46.185;496
2023-02-08T18:54:46.681;493
2023-02-08T18:54:47.174;489
2023-02-08T18:54:47.663;484
2023-02-08T18:54:48.147;480
2023-02-08T18:54:48.627;478
2023-02-08T18:54:49.105;471
2023-02-08T18:54:49.576;466
2023-02-08T18:54:50.042;464
2023-02-08T18:54:50.506;459
2023-02-08T18:54:50.965;457
2023-02-08T18:54:51.422;462
2023-02-08T18:54:51.884;475
2023-02-08T18:54:52.359;473
2023-02-08T18:54:52.832;479
2023-02-08T18:54:53.311;510
2023-02-08T18:54:53.821;542
2023-02-08T18:54:54.363;527
2023-02-08T18:54:54.890;543
2023-02-08T18:54:55.433;530
2023-02-08T18:54:55.963;546
2023-02-08T18:54:56.509;544
2023-02-08T18:54:57.053;530
2023-02-08T18:54:57.583;531
2023-02-08T18:54:58.114;528
2023-02-08T18:54:58.642;535
2023-02-08T18:54:59.177;530
2023-02-08T18:54:59.707;519
2023-02-08T18:55:00.226;504
2023-02-08T18:55:00.730;499
2023-02-08T18:55:01.229;488
2023-02-08T18:55:01.717;484
2023-02-08T18:55:02.201;481
2023-02-08T18:55:02.682;479
2023-02-08T18:55:03.161;475
2023-02-08T18:55:03.636;475
2023-02-08T18:55:04.111;476
2023-02-08T18:55:04.587;476
2023-02-08T18:55:05.063;474
2023-02-08T18:55:05.537;473
2023-02-08T18:55:06.010;473
2023-02-08T18:55:06.483;476
2023-02-08T18:55:06.959;476
2023-02-08T18:55:07.435;479
2023-02-08T18:55:07.914;485
2023-02-08T18:55:08.399;484
2023-02-08T18:55:08.883;485
2023-02-08T18:55:09.368;485
2023-02-08T18:55:09.853;486
2023-02-08T18:55:10.339;484
2023-02-08T18:55:10.823;483
2023-02-08T18:55:11.306;480
2023-02-08T18:55:11.786;480
2023-02-08T18:55:12.266;478
2023-02-08T18:55:12.744;475
