Phone timestamp;RR-interval [ms]
2023-03-15T20:13:20.547;665
2023-03-15T20:13:21.212;691
2023-03-15T20:13:21.903;706
2023-03-15T20:13:22.609;745
2023-03-15T20:13:23.354;800
2023-03-15T20:13:24.154;788
2023-03-15T20:13:24.942;735
2023-03-15T20:13:25.677;704
2023-03-15T20:13:26.381;679
2023-03-15T20:13:27.060;680
2023-03-15T20:13:27.740;664
2023-03-15T20:13:28.404;647
2023-03-15T20:13:29.051;627
2023-03-15T20:13:29.678;615
2023-03-15T20:13:30.293;613
2023-03-15T20:13:30.906;598
2023-03-15T20:13:31.504;590
2023-03-15T20:13:32.094;589
2023-03-15T20:13:32.683;621
2023-03-15T20:13:33.304;650
2023-03-15T20:13:33.954;933
2023-03-15T20:13:34.887;849
2023-03-15T20:13:35.736;795
2023-03-15T20:13:36.531;780
2023-03-15T20:13:37.311;759
2023-03-15T20:13:38.070;697
2023-03-15T20:13:38.767;669
2023-03-15T20:13:39.436;651
2023-03-15T20:13:40.087;646
2023-03-15T20:13:40.733;634
2023-03-15T20:13:41.367;618
2023-03-15T20:13:41.985;597
2023-03-15T20:13:42.582;595
2023-03-15T20:13:43.177;591
2023-03-15T20:13:43.768;606
2023-03-15T20:13:44.374;636
2023-03-15T20:13:45.010;643
2023-03-15T20:13:45.653;643
2023-03-15T20:13:46.296;672
2023-03-15T20:13:46.968;732
2023-03-15T20:13:47.700;723
2023-03-15T20:13:48.423;725
2023-03-15T20:13:49.148;673
2023-03-15T20:13:49.821;673
2023-03-15T20:13:50.494;673
2023-03-15T20:13:51.167;646
2023-03-15T20:13:51.813;608
2023-03-15T20:13:52.421;603
2023-03-15T20:13:53.024;592
2023-03-15T20:13:53.616;582
2023-03-15T20:13:54.198;576
2023-03-15T20:13:54.774;568
2023-03-15T20:13:55.342;567
2023-03-15T20:13:55.909;573
2023-03-15T20:13:56.482;580
2023-03-15T20:13:57.062;574
2023-03-15T20:13:57.636;585
2023-03-15T20:13:58.221;577
2023-03-15T20:13:58.798;579
2023-03-15T20:13:59.377;572
2023-03-15T20:13:59.949;570
2023-03-15T20:14:00.519;575
2023-03-15T20:14:01.094;564
2023-03-15T20:14:01.658;566
2023-03-15T20:14:02.224;561
2023-03-15T20:14:02.785;556
2023-03-15T20:14:03.341;551
2023-03-15T20:14:03.892;541
2023-03-15T20:14:04.433;542
2023-03-15T20:14:04.975;532
2023-03-15T20:14:05.507;534
2023-03-15T20:14:06.041;535
2023-03-15T20:14:06.576;525
2023-03-15T20:14:07.101;521
2023-03-15T20:14:07.622;519
2023-03-15T20:14:08.141;512
2023-03-15T20:14:08.653;510
2023-03-15T20:14:09.163;1007
2023-03-15T20:14:10.170;499
2023-03-15T20:14:10.669;497
2023-03-15T20:14:11.166;496
2023-03-15T20:14:11.662;493
2023-03-15T20:14:12.155;491
2023-03-15T20:14:12.646;488
2023-03-15T20:14:13.134;490
2023-03-15T20:14:13.624;487
2023-03-15T20:14:14.111;484
2023-03-15T20:14:14.595;485
2023-03-15T20:14:15.080;484
2023-03-15T20:14:15.564;484
2023-03-15T20:14:16.048;483
2023-03-15T20:14:16.531;483
2023-03-15T20:14:17.014;485
2023-03-15T20:14:17.499;483
2023-03-15T20:14:17.982;484
2023-03-15T20:14:18.466;486
2023-03-15T20:14:18.952;487
2023-03-15T20:14:19.439;484
2023-03-15T20:14:19.923;480
2023-03-15T20:14:20.403;479
2023-03-15T20:14:20.882;479
2023-03-15T20:14:21.361;480
2023-03-15T20:14:21.841;476
2023-03-15T20:14:22.317;481
2023-03-15T20:14:22.798;505
2023-03-15T20:14:23.303;560
2023-03-15T20:14:23.863;540
2023-03-15T20:14:24.403;524
2023-03-15T20:14:24.927;516
2023-03-15T20:14:25.443;515
2023-03-15T20:14:25.958;510
2023-03-15T20:14:26.468;503
2023-03-15T20:14:26.971;494
2023-03-15T20:14:27.465;497
2023-03-15T20:14:27.962;496
2023-03-15T20:14:28.458;495
2023-03-15T20:14:28.953;495
2023-03-15T20:14:29.448;496
2023-03-15T20:14:29.944;515
2023-03-15T20:14:30.459;522
2023-03-15T20:14:30.981;517
2023-03-15T20:14:31.498;519
2023-03-15T20:14:32.017;519
2023-03-15T20:14:32.536;515
2023-03-15T20:14:33.051;513
2023-03-15T20:14:33.564;510
2023-03-15T20:14:34.074;507
2023-03-15T20:14:34.581;510
2023-03-15T20:14:35.091;513
2023-03-15T20:14:35.604;511
2023-03-15T20:14:36.115;516
2023-03-15T20:14:36.631;525
2023-03-15T20:14:37.156;523
2023-03-15T20:14:37.679;521
2023-03-15T20:14:38.200;533
2023-03-15T20:14:38.733;541
2023-03-15T20:14:39.274;542
2023-03-15T20:14:39.816;544
2023-03-15T20:14:40.360;544
2023-03-15T20:14:40.904;552
2023-03-15T20:14:41.456;550
2023-03-15T20:14:42.006;548
2023-03-15T20:14:42.554;539
2023-03-15T20:14:43.093;539
2023-03-15T20:14:43.632;539
2023-03-15T20:14:44.171;556
2023-03-15T20:14:44.727;549
2023-03-15T20:14:45.276;545
2023-03-15T20:14:45.821;548
2023-03-15T20:14:46.369;546
2023-03-15T20:14:46.915;555
2023-03-15T20:14:47.470;555
2023-03-15T20:14:48.025;542
2023-03-15T20:14:48.567;545
2023-03-15T20:14:49.112;541
2023-03-15T20:14:49.653;549
2023-03-15T20:14:50.202;554
2023-03-15T20:14:50.756;589
2023-03-15T20:14:51.345;580
2023-03-15T20:14:51.925;603
2023-03-15T20:14:52.528;651
2023-03-15T20:14:53.179;616
2023-03-15T20:14:53.795;604
2023-03-15T20:14:54.399;604
2023-03-15T20:14:55.003;592
2023-03-15T20:14:55.595;595
2023-03-15T20:14:56.190;582
2023-03-15T20:14:56.772;584
2023-03-15T20:14:57.356;576
2023-03-15T20:14:57.932;590
2023-03-15T20:14:58.522;600
2023-03-15T20:14:59.122;582
2023-03-15T20:14:59.704;582
2023-03-15T20:15:00.286;598
2023-03-15T20:15:00.884;648
2023-03-15T20:15:01.532;642
2023-03-15T20:15:02.174;606
2023-03-15T20:15:02.780;621
2023-03-15T20:15:03.401;627
2023-03-15T20:15:04.028;629
2023-03-15T20:15:04.657;607
2023-03-15T20:15:05.264;605
2023-03-15T20:15:05.869;631
2023-03-15T20:15:06.500;635
2023-03-15T20:15:07.135;604
2023-03-15T20:15:07.739;602
2023-03-15T20:15:08.341;596
2023-03-15T20:15:08.937;586
2023-03-15T20:15:09.523;581
2023-03-15T20:15:10.104;572
2023-03-15T20:15:10.676;569
2023-03-15T20:15:11.245;565
2023-03-15T20:15:11.810;571
2023-03-15T20:15:12.381;571
2023-03-15T20:15:12.952;586
2023-03-15T20:15:13.538;588
2023-03-15T20:15:14.126;603
2023-03-15T20:15:14.729;649
2023-03-15T20:15:15.378;680
2023-03-15T20:15:16.058;670
2023-03-15T20:15:16.728;645
2023-03-15T20:15:17.373;636
2023-03-15T20:15:18.009;645
2023-03-15T20:15:18.654;671
2023-03-15T20:15:19.325;639
2023-03-15T20:15:19.964;610
2023-03-15T20:15:20.574;614
2023-03-15T20:15:21.188;618
2023-03-15T20:15:21.806;621
2023-03-15T20:15:22.427;615
2023-03-15T20:15:23.042;618
2023-03-15T20:15:23.660;639
2023-03-15T20:15:24.299;661
2023-03-15T20:15:24.960;646
2023-03-15T20:15:25.606;629
2023-03-15T20:15:26.235;636
2023-03-15T20:15:26.871;647
2023-03-15T20:15:27.518;658
2023-03-15T20:15:28.176;623
2023-03-15T20:15:28.799;611
2023-03-15T20:15:29.410;610
