Phone timestamp;RR-interval [ms]
2023-03-15T20:55:21.528;448
2023-03-15T20:55:21.976;448
2023-03-15T20:55:22.424;449
2023-03-15T20:55:22.873;450
2023-03-15T20:55:23.323;451
2023-03-15T20:55:23.774;456
2023-03-15T20:55:24.230;462
2023-03-15T20:55:24.692;463
2023-03-15T20:55:25.155;465
2023-03-15T20:55:25.620;466
2023-03-15T20:55:26.086;470
2023-03-15T20:55:26.556;473
2023-03-15T20:55:27.029;474
2023-03-15T20:55:27.503;476
2023-03-15T20:55:27.979;476
2023-03-15T20:55:28.455;472
2023-03-15T20:55:28.927;472
2023-03-15T20:55:29.399;473
2023-03-15T20:55:29.872;472
2023-03-15T20:55:30.344;475
2023-03-15T20:55:30.819;474
2023-03-15T20:55:31.293;474
2023-03-15T20:55:31.767;474
2023-03-15T20:55:32.241;478
2023-03-15T20:55:32.719;487
2023-03-15T20:55:33.206;506
2023-03-15T20:55:33.712;517
2023-03-15T20:55:34.229;520
2023-03-15T20:55:34.749;511
2023-03-15T20:55:35.260;505
2023-03-15T20:55:35.765;504
2023-03-15T20:55:36.269;500
2023-03-15T20:55:36.769;499
2023-03-15T20:55:37.268;497
2023-03-15T20:55:37.765;492
2023-03-15T20:55:38.257;490
2023-03-15T20:55:38.747;487
2023-03-15T20:55:39.234;490
2023-03-15T20:55:39.724;498
2023-03-15T20:55:40.222;509
2023-03-15T20:55:40.731;514
2023-03-15T20:55:41.245;509
2023-03-15T20:55:41.754;512
2023-03-15T20:55:42.266;520
2023-03-15T20:55:42.786;526
2023-03-15T20:55:43.312;522
2023-03-15T20:55:43.834;519
2023-03-15T20:55:44.353;513
2023-03-15T20:55:44.866;507
2023-03-15T20:55:45.373;500
2023-03-15T20:55:45.873;494
2023-03-15T20:55:46.367;488
2023-03-15T20:55:46.855;484
2023-03-15T20:55:47.339;488
2023-03-15T20:55:47.827;494
2023-03-15T20:55:48.321;499
2023-03-15T20:55:48.820;496
2023-03-15T20:55:49.316;498
2023-03-15T20:55:49.814;500
2023-03-15T20:55:50.314;499
2023-03-15T20:55:50.813;499
2023-03-15T20:55:51.312;510
2023-03-15T20:55:51.822;519
2023-03-15T20:55:52.341;523
2023-03-15T20:55:52.864;518
2023-03-15T20:55:53.382;513
2023-03-15T20:55:53.895;509
2023-03-15T20:55:54.404;510
2023-03-15T20:55:54.914;507
2023-03-15T20:55:55.421;508
2023-03-15T20:55:55.929;504
2023-03-15T20:55:56.433;503
2023-03-15T20:55:56.936;503
2023-03-15T20:55:57.439;521
2023-03-15T20:55:57.960;572
2023-03-15T20:55:58.532;614
2023-03-15T20:55:59.146;624
2023-03-15T20:55:59.770;610
2023-03-15T20:56:00.380;601
2023-03-15T20:56:00.981;640
2023-03-15T20:56:01.621;623
2023-03-15T20:56:02.244;611
2023-03-15T20:56:02.855;585
2023-03-15T20:56:03.440;565
2023-03-15T20:56:04.005;555
2023-03-15T20:56:04.560;551
2023-03-15T20:56:05.111;551
2023-03-15T20:56:05.662;552
2023-03-15T20:56:06.214;548
2023-03-15T20:56:06.762;547
2023-03-15T20:56:07.309;562
2023-03-15T20:56:07.871;592
2023-03-15T20:56:08.463;655
2023-03-15T20:56:09.118;660
2023-03-15T20:56:09.778;641
2023-03-15T20:56:10.419;614
2023-03-15T20:56:11.033;593
2023-03-15T20:56:11.626;573
2023-03-15T20:56:12.199;556
2023-03-15T20:56:12.755;545
