Phone timestamp;RR-interval [ms]
2023-03-13T21:13:39.538;618
2023-03-13T21:13:40.156;587
2023-03-13T21:13:40.743;563
2023-03-13T21:13:41.306;548
2023-03-13T21:13:41.854;535
2023-03-13T21:13:42.389;529
2023-03-13T21:13:42.918;533
2023-03-13T21:13:43.451;531
2023-03-13T21:13:43.982;528
2023-03-13T21:13:44.510;525
2023-03-13T21:13:45.035;528
2023-03-13T21:13:45.563;537
2023-03-13T21:13:46.100;563
2023-03-13T21:13:46.663;678
2023-03-13T21:13:47.341;714
2023-03-13T21:13:48.055;653
2023-03-13T21:13:48.708;596
2023-03-13T21:13:49.304;604
2023-03-13T21:13:49.908;555
2023-03-13T21:13:50.463;567
2023-03-13T21:13:51.030;562
2023-03-13T21:13:51.592;563
2023-03-13T21:13:52.155;556
2023-03-13T21:13:52.711;550
2023-03-13T21:13:53.261;550
2023-03-13T21:13:53.811;558
2023-03-13T21:13:54.369;552
2023-03-13T21:13:54.921;542
2023-03-13T21:13:55.463;546
2023-03-13T21:13:56.009;537
2023-03-13T21:13:56.546;527
2023-03-13T21:13:57.073;524
2023-03-13T21:13:57.597;526
2023-03-13T21:13:58.123;521
2023-03-13T21:13:58.644;518
2023-03-13T21:13:59.162;510
2023-03-13T21:13:59.672;516
2023-03-13T21:14:00.188;510
2023-03-13T21:14:00.698;500
2023-03-13T21:14:01.198;496
2023-03-13T21:14:01.694;496
2023-03-13T21:14:02.190;497
2023-03-13T21:14:02.687;497
2023-03-13T21:14:03.184;497
2023-03-13T21:14:03.681;498
2023-03-13T21:14:04.179;494
2023-03-13T21:14:04.673;490
2023-03-13T21:14:05.163;488
2023-03-13T21:14:05.651;491
2023-03-13T21:14:06.142;479
2023-03-13T21:14:06.621;485
2023-03-13T21:14:07.106;481
2023-03-13T21:14:07.587;481
2023-03-13T21:14:08.068;481
2023-03-13T21:14:08.549;479
2023-03-13T21:14:09.028;481
2023-03-13T21:14:09.509;479
2023-03-13T21:14:09.988;477
2023-03-13T21:14:10.465;476
2023-03-13T21:14:10.941;474
2023-03-13T21:14:11.415;474
2023-03-13T21:14:11.889;473
2023-03-13T21:14:12.362;476
2023-03-13T21:14:12.838;473
2023-03-13T21:14:13.311;465
2023-03-13T21:14:13.776;468
2023-03-13T21:14:14.244;465
2023-03-13T21:14:14.709;469
2023-03-13T21:14:15.178;475
