Phone timestamp;RR-interval [ms]
2023-02-08T20:49:01.555;500
2023-02-08T20:49:02.055;538
2023-02-08T20:49:02.593;570
2023-02-08T20:49:03.163;577
2023-02-08T20:49:03.740;573
2023-02-08T20:49:04.313;557
2023-02-08T20:49:04.870;548
2023-02-08T20:49:05.418;539
2023-02-08T20:49:05.957;526
2023-02-08T20:49:06.483;523
2023-02-08T20:49:07.006;524
2023-02-08T20:49:07.530;521
2023-02-08T20:49:08.051;515
2023-02-08T20:49:08.566;510
2023-02-08T20:49:09.076;505
2023-02-08T20:49:09.581;505
2023-02-08T20:49:10.086;509
2023-02-08T20:49:10.595;511
2023-02-08T20:49:11.106;511
2023-02-08T20:49:11.617;512
2023-02-08T20:49:12.129;507
2023-02-08T20:49:12.636;506
2023-02-08T20:49:13.142;511
2023-02-08T20:49:13.653;516
2023-02-08T20:49:14.169;526
2023-02-08T20:49:14.695;516
2023-02-08T20:49:15.211;516
2023-02-08T20:49:15.727;512
2023-02-08T20:49:16.239;517
2023-02-08T20:49:16.756;511
2023-02-08T20:49:17.267;504
2023-02-08T20:49:17.771;494
2023-02-08T20:49:18.265;486
2023-02-08T20:49:18.751;491
2023-02-08T20:49:19.242;481
2023-02-08T20:49:19.723;477
2023-02-08T20:49:20.200;474
2023-02-08T20:49:20.674;478
2023-02-08T20:49:21.152;468
2023-02-08T20:49:21.620;462
2023-02-08T20:49:22.082;463
2023-02-08T20:49:22.545;457
2023-02-08T20:49:23.002;453
2023-02-08T20:49:23.455;452
2023-02-08T20:49:23.907;444
2023-02-08T20:49:24.351;446
2023-02-08T20:49:24.797;446
2023-02-08T20:49:25.243;444
2023-02-08T20:49:25.687;436
2023-02-08T20:49:26.123;438
2023-02-08T20:49:26.561;436
2023-02-08T20:49:26.997;432
2023-02-08T20:49:27.429;429
2023-02-08T20:49:27.858;426
2023-02-08T20:49:28.284;423
2023-02-08T20:49:28.707;424
2023-02-08T20:49:29.131;420
2023-02-08T20:49:29.551;423
2023-02-08T20:49:29.974;418
2023-02-08T20:49:30.392;415
2023-02-08T20:49:30.807;415
2023-02-08T20:49:31.222;414
2023-02-08T20:49:31.636;413
2023-02-08T20:49:32.049;413
2023-02-08T20:49:32.462;410
2023-02-08T20:49:32.872;412
2023-02-08T20:49:33.284;410
2023-02-08T20:49:33.694;406
2023-02-08T20:49:34.100;407
2023-02-08T20:49:34.507;408
2023-02-08T20:49:34.915;406
2023-02-08T20:49:35.321;403
2023-02-08T20:49:35.724;407
2023-02-08T20:49:36.131;407
2023-02-08T20:49:36.538;404
2023-02-08T20:49:36.942;406
2023-02-08T20:49:37.348;405
2023-02-08T20:49:37.753;404
2023-02-08T20:49:38.157;404
2023-02-08T20:49:38.561;403
2023-02-08T20:49:38.964;402
2023-02-08T20:49:39.366;405
2023-02-08T20:49:39.771;404
2023-02-08T20:49:40.175;403
2023-02-08T20:49:40.578;404
2023-02-08T20:49:40.982;404
2023-02-08T20:49:41.386;404
2023-02-08T20:49:41.790;405
2023-02-08T20:49:42.195;404
2023-02-08T20:49:42.599;403
2023-02-08T20:49:43.002;402
2023-02-08T20:49:43.404;401
2023-02-08T20:49:43.805;400
2023-02-08T20:49:44.205;401
2023-02-08T20:49:44.606;401
2023-02-08T20:49:45.007;399
2023-02-08T20:49:45.406;397
2023-02-08T20:49:45.803;402
2023-02-08T20:49:46.205;398
2023-02-08T20:49:46.603;400
2023-02-08T20:49:47.003;401
2023-02-08T20:49:47.404;395
2023-02-08T20:49:47.799;395
2023-02-08T20:49:48.194;398
2023-02-08T20:49:48.592;394
2023-02-08T20:49:48.986;396
2023-02-08T20:49:49.382;397
2023-02-08T20:49:49.779;395
2023-02-08T20:49:50.174;393
2023-02-08T20:49:50.567;393
2023-02-08T20:49:50.960;392
