Phone timestamp;RR-interval [ms]
2023-03-11T11:12:35.500;507
2023-03-11T11:12:36.007;514
2023-03-11T11:12:36.521;503
2023-03-11T11:12:37.024;510
2023-03-11T11:12:37.534;999
2023-03-11T11:12:38.533;495
2023-03-11T11:12:39.028;484
2023-03-11T11:12:39.512;484
2023-03-11T11:12:39.996;484
2023-03-11T11:12:40.480;472
2023-03-11T11:12:40.952;473
2023-03-11T11:12:41.425;465
2023-03-11T11:12:41.890;465
2023-03-11T11:12:42.355;456
2023-03-11T11:12:42.811;450
2023-03-11T11:12:43.261;449
2023-03-11T11:12:43.710;447
2023-03-11T11:12:44.157;440
2023-03-11T11:12:44.597;431
2023-03-11T11:12:45.028;431
2023-03-11T11:12:45.459;427
2023-03-11T11:12:45.886;421
2023-03-11T11:12:46.307;419
2023-03-11T11:12:46.726;414
2023-03-11T11:12:47.140;413
2023-03-11T11:12:47.553;406
2023-03-11T11:12:47.959;406
2023-03-11T11:12:48.365;401
2023-03-11T11:12:48.766;403
2023-03-11T11:12:49.169;397
2023-03-11T11:12:49.566;395
2023-03-11T11:12:49.961;391
2023-03-11T11:12:50.352;390
2023-03-11T11:12:50.742;389
2023-03-11T11:12:51.131;386
2023-03-11T11:12:51.517;384
2023-03-11T11:12:51.901;383
2023-03-11T11:12:52.284;382
2023-03-11T11:12:52.666;381
2023-03-11T11:12:53.047;381
2023-03-11T11:12:53.428;376
2023-03-11T11:12:53.804;376
2023-03-11T11:12:54.180;376
2023-03-11T11:12:54.556;379
2023-03-11T11:12:54.935;368
2023-03-11T11:12:55.303;377
2023-03-11T11:12:55.680;370
2023-03-11T11:12:56.050;371
2023-03-11T11:12:56.421;377
2023-03-11T11:12:56.798;367
2023-03-11T11:12:57.165;371
2023-03-11T11:12:57.536;366
2023-03-11T11:12:57.902;368
2023-03-11T11:12:58.270;364
2023-03-11T11:12:58.634;364
2023-03-11T11:12:58.998;357
2023-03-11T11:12:59.355;361
2023-03-11T11:12:59.716;363
2023-03-11T11:13:00.079;361
2023-03-11T11:13:00.440;357
2023-03-11T11:13:00.797;362
2023-03-11T11:13:01.159;354
2023-03-11T11:13:01.513;358
2023-03-11T11:13:01.871;360
2023-03-11T11:13:02.231;358
2023-03-11T11:13:02.589;362
2023-03-11T11:13:02.951;358
2023-03-11T11:13:03.309;359
2023-03-11T11:13:03.668;355
2023-03-11T11:13:04.023;355
2023-03-11T11:13:04.378;361
2023-03-11T11:13:04.739;354
2023-03-11T11:13:05.093;355
2023-03-11T11:13:05.448;354
2023-03-11T11:13:05.802;353
2023-03-11T11:13:06.155;350
2023-03-11T11:13:06.505;354
2023-03-11T11:13:06.859;354
2023-03-11T11:13:07.213;353
2023-03-11T11:13:07.566;353
2023-03-11T11:13:07.919;351
2023-03-11T11:13:08.270;349
2023-03-11T11:13:08.619;350
2023-03-11T11:13:08.969;354
2023-03-11T11:13:09.323;356
2023-03-11T11:13:09.679;355
2023-03-11T11:13:10.034;353
2023-03-11T11:13:10.387;353
2023-03-11T11:13:10.740;353
