Phone timestamp;RR-interval [ms]
2023-02-10T16:32:43.151;485
2023-02-10T16:32:43.636;484
2023-02-10T16:32:44.120;494
2023-02-10T16:32:44.614;499
2023-02-10T16:32:45.113;511
2023-02-10T16:32:45.624;514
2023-02-10T16:32:46.138;528
2023-02-10T16:32:46.666;549
2023-02-10T16:32:47.215;579
2023-02-10T16:32:47.794;606
2023-02-10T16:32:48.400;586
2023-02-10T16:32:48.986;575
2023-02-10T16:32:49.561;556
2023-02-10T16:32:50.117;525
2023-02-10T16:32:50.642;513
2023-02-10T16:32:51.155;494
2023-02-10T16:32:51.649;483
2023-02-10T16:32:52.132;468
2023-02-10T16:32:52.600;463
2023-02-10T16:32:53.063;455
2023-02-10T16:32:53.518;443
2023-02-10T16:32:53.961;438
2023-02-10T16:32:54.399;440
2023-02-10T16:32:54.839;433
2023-02-10T16:32:55.272;433
2023-02-10T16:32:55.705;428
2023-02-10T16:32:56.133;421
2023-02-10T16:32:56.554;424
2023-02-10T16:32:56.978;421
2023-02-10T16:32:57.399;417
2023-02-10T16:32:57.816;412
2023-02-10T16:32:58.228;413
2023-02-10T16:32:58.641;407
2023-02-10T16:32:59.048;412
2023-02-10T16:32:59.460;407
2023-02-10T16:32:59.867;410
2023-02-10T16:33:00.277;402
2023-02-10T16:33:00.679;401
2023-02-10T16:33:01.080;403
2023-02-10T16:33:01.483;403
2023-02-10T16:33:01.886;396
2023-02-10T16:33:02.282;397
2023-02-10T16:33:02.679;392
2023-02-10T16:33:03.071;396
2023-02-10T16:33:03.467;388
2023-02-10T16:33:03.855;391
2023-02-10T16:33:04.246;391
2023-02-10T16:33:04.637;385
2023-02-10T16:33:05.022;385
2023-02-10T16:33:05.407;381
2023-02-10T16:33:05.788;384
2023-02-10T16:33:06.172;376
2023-02-10T16:33:06.548;378
2023-02-10T16:33:06.926;377
2023-02-10T16:33:07.303;374
2023-02-10T16:33:07.677;375
2023-02-10T16:33:08.052;369
2023-02-10T16:33:08.421;371
2023-02-10T16:33:08.792;369
2023-02-10T16:33:09.161;362
2023-02-10T16:33:09.523;373
2023-02-10T16:33:09.896;367
2023-02-10T16:33:10.263;363
2023-02-10T16:33:10.626;365
2023-02-10T16:33:10.991;364
2023-02-10T16:33:11.355;360
2023-02-10T16:33:11.715;357
2023-02-10T16:33:12.072;365
2023-02-10T16:33:12.437;358
2023-02-10T16:33:12.795;362
2023-02-10T16:33:13.157;352
2023-02-10T16:33:13.509;356
2023-02-10T16:33:13.865;359
2023-02-10T16:33:14.224;358
2023-02-10T16:33:14.582;358
2023-02-10T16:33:14.940;352
2023-02-10T16:33:15.292;354
2023-02-10T16:33:15.646;353
2023-02-10T16:33:15.999;351
2023-02-10T16:33:16.350;354
2023-02-10T16:33:16.704;354
2023-02-10T16:33:17.058;359
2023-02-10T16:33:17.417;704
2023-02-10T16:33:18.121;351
2023-02-10T16:33:18.472;355
2023-02-10T16:33:18.827;355
2023-02-10T16:33:19.182;353
2023-02-10T16:33:19.535;354
2023-02-10T16:33:19.889;350
2023-02-10T16:33:20.239;352
2023-02-10T16:33:20.591;348
2023-02-10T16:33:20.939;352
2023-02-10T16:33:21.291;352
2023-02-10T16:33:21.643;350
2023-02-10T16:33:21.993;351
2023-02-10T16:33:22.344;352
2023-02-10T16:33:22.696;353
2023-02-10T16:33:23.049;351
2023-02-10T16:33:23.400;349
2023-02-10T16:33:23.749;349
2023-02-10T16:33:24.098;349
2023-02-10T16:33:24.447;347
2023-02-10T16:33:24.794;352
2023-02-10T16:33:25.146;350
2023-02-10T16:33:25.496;349
2023-02-10T16:33:25.845;346
2023-02-10T16:33:26.191;347
2023-02-10T16:33:26.538;348
2023-02-10T16:33:26.886;350
2023-02-10T16:33:27.236;349
2023-02-10T16:33:27.585;349
2023-02-10T16:33:27.934;348
2023-02-10T16:33:28.282;349
