Phone timestamp;RR-interval [ms]
2023-03-14T17:42:12.310;505
2023-03-14T17:42:12.815;498
2023-03-14T17:42:13.313;494
2023-03-14T17:42:13.807;492
2023-03-14T17:42:14.299;496
2023-03-14T17:42:14.795;510
2023-03-14T17:42:15.305;518
2023-03-14T17:42:15.823;527
2023-03-14T17:42:16.350;542
2023-03-14T17:42:16.892;543
2023-03-14T17:42:17.435;541
2023-03-14T17:42:17.976;548
2023-03-14T17:42:18.524;561
2023-03-14T17:42:19.085;609
2023-03-14T17:42:19.694;627
2023-03-14T17:42:20.321;602
2023-03-14T17:42:20.923;594
2023-03-14T17:42:21.517;587
2023-03-14T17:42:22.104;567
2023-03-14T17:42:22.671;555
2023-03-14T17:42:23.226;548
2023-03-14T17:42:23.774;537
2023-03-14T17:42:24.311;531
2023-03-14T17:42:24.842;530
2023-03-14T17:42:25.372;547
2023-03-14T17:42:25.919;533
2023-03-14T17:42:26.452;540
2023-03-14T17:42:26.992;519
2023-03-14T17:42:27.511;515
2023-03-14T17:42:28.026;513
2023-03-14T17:42:28.539;531
2023-03-14T17:42:29.070;534
2023-03-14T17:42:29.604;536
2023-03-14T17:42:30.140;553
2023-03-14T17:42:30.693;556
2023-03-14T17:42:31.249;566
2023-03-14T17:42:31.815;567
2023-03-14T17:42:32.382;560
2023-03-14T17:42:32.942;561
2023-03-14T17:42:33.503;569
2023-03-14T17:42:34.072;559
2023-03-14T17:42:34.631;570
2023-03-14T17:42:35.201;566
2023-03-14T17:42:35.767;569
2023-03-14T17:42:36.336;572
2023-03-14T17:42:36.908;576
2023-03-14T17:42:37.484;565
2023-03-14T17:42:38.049;577
2023-03-14T17:42:38.626;589
2023-03-14T17:42:39.215;567
2023-03-14T17:42:39.782;575
2023-03-14T17:42:40.357;601
2023-03-14T17:42:40.958;596
2023-03-14T17:42:41.554;584
2023-03-14T17:42:42.138;589
2023-03-14T17:42:42.727;587
2023-03-14T17:42:43.314;585
2023-03-14T17:42:43.899;581
2023-03-14T17:42:44.480;580
2023-03-14T17:42:45.060;585
2023-03-14T17:42:45.645;584
2023-03-14T17:42:46.229;586
2023-03-14T17:42:46.815;588
2023-03-14T17:42:47.403;579
2023-03-14T17:42:47.982;566
2023-03-14T17:42:48.548;567
2023-03-14T17:42:49.115;560
2023-03-14T17:42:49.675;563
2023-03-14T17:42:50.238;551
2023-03-14T17:42:50.789;543
2023-03-14T17:42:51.332;535
2023-03-14T17:42:51.867;532
2023-03-14T17:42:52.399;523
2023-03-14T17:42:52.922;521
2023-03-14T17:42:53.443;522
2023-03-14T17:42:53.965;540
2023-03-14T17:42:54.505;619
2023-03-14T17:42:55.124;666
2023-03-14T17:42:55.790;689
2023-03-14T17:42:56.479;690
2023-03-14T17:42:57.169;675
2023-03-14T17:42:57.844;646
2023-03-14T17:42:58.490;596
2023-03-14T17:42:59.086;568
2023-03-14T17:42:59.654;557
