Phone timestamp;RR-interval [ms]
2023-03-14T17:11:24.249;563
2023-03-14T17:11:24.812;553
2023-03-14T17:11:25.365;538
2023-03-14T17:11:25.903;531
2023-03-14T17:11:26.434;520
2023-03-14T17:11:26.954;523
2023-03-14T17:11:27.477;537
2023-03-14T17:11:28.014;555
2023-03-14T17:11:28.569;545
2023-03-14T17:11:29.114;544
2023-03-14T17:11:29.658;535
2023-03-14T17:11:30.193;541
2023-03-14T17:11:30.734;543
2023-03-14T17:11:31.277;537
2023-03-14T17:11:31.814;531
2023-03-14T17:11:32.345;537
2023-03-14T17:11:32.882;559
2023-03-14T17:11:33.441;622
2023-03-14T17:11:34.063;660
2023-03-14T17:11:34.723;613
2023-03-14T17:11:35.336;586
2023-03-14T17:11:35.922;570
2023-03-14T17:11:36.492;560
2023-03-14T17:11:37.052;544
2023-03-14T17:11:37.596;526
2023-03-14T17:11:38.122;523
2023-03-14T17:11:38.645;568
2023-03-14T17:11:39.213;603
2023-03-14T17:11:39.816;602
2023-03-14T17:11:40.418;588
2023-03-14T17:11:41.006;578
2023-03-14T17:11:41.584;567
2023-03-14T17:11:42.151;563
2023-03-14T17:11:42.714;545
2023-03-14T17:11:43.259;542
2023-03-14T17:11:43.801;559
2023-03-14T17:11:44.360;553
2023-03-14T17:11:44.913;546
2023-03-14T17:11:45.459;539
2023-03-14T17:11:45.998;533
2023-03-14T17:11:46.531;526
2023-03-14T17:11:47.057;518
2023-03-14T17:11:47.575;531
2023-03-14T17:11:48.106;565
2023-03-14T17:11:48.671;593
2023-03-14T17:11:49.264;576
2023-03-14T17:11:49.840;565
2023-03-14T17:11:50.405;574
2023-03-14T17:11:50.979;567
2023-03-14T17:11:51.546;557
2023-03-14T17:11:52.103;548
2023-03-14T17:11:52.651;548
2023-03-14T17:11:53.199;584
2023-03-14T17:11:53.783;632
2023-03-14T17:11:54.415;596
2023-03-14T17:11:55.011;592
2023-03-14T17:11:55.603;570
