Phone timestamp;RR-interval [ms]
2023-03-14T17:16:45.262;493
2023-03-14T17:16:45.755;496
2023-03-14T17:16:46.251;497
2023-03-14T17:16:46.748;509
2023-03-14T17:16:47.257;510
2023-03-14T17:16:47.767;515
2023-03-14T17:16:48.282;505
2023-03-14T17:16:48.787;502
2023-03-14T17:16:49.289;497
2023-03-14T17:16:49.786;498
2023-03-14T17:16:50.284;497
2023-03-14T17:16:50.781;505
2023-03-14T17:16:51.286;510
2023-03-14T17:16:51.796;510
2023-03-14T17:16:52.306;502
2023-03-14T17:16:52.808;491
2023-03-14T17:16:53.299;496
2023-03-14T17:16:53.795;541
2023-03-14T17:16:54.336;559
2023-03-14T17:16:54.895;536
2023-03-14T17:16:55.431;543
2023-03-14T17:16:55.974;536
2023-03-14T17:16:56.510;533
2023-03-14T17:16:57.043;519
2023-03-14T17:16:57.562;515
2023-03-14T17:16:58.077;520
2023-03-14T17:16:58.597;523
2023-03-14T17:16:59.120;511
2023-03-14T17:16:59.631;513
2023-03-14T17:17:00.144;510
2023-03-14T17:17:00.654;510
2023-03-14T17:17:01.164;510
2023-03-14T17:17:01.674;504
2023-03-14T17:17:02.178;501
2023-03-14T17:17:02.679;509
2023-03-14T17:17:03.188;501
2023-03-14T17:17:03.689;547
2023-03-14T17:17:04.236;612
2023-03-14T17:17:04.848;590
2023-03-14T17:17:05.438;610
2023-03-14T17:17:06.048;592
2023-03-14T17:17:06.640;582
2023-03-14T17:17:07.222;565
2023-03-14T17:17:07.787;553
2023-03-14T17:17:08.340;534
2023-03-14T17:17:08.874;524
2023-03-14T17:17:09.398;525
2023-03-14T17:17:09.923;518
2023-03-14T17:17:10.441;509
2023-03-14T17:17:10.950;519
2023-03-14T17:17:11.469;542
2023-03-14T17:17:12.011;572
2023-03-14T17:17:12.583;604
2023-03-14T17:17:13.187;607
2023-03-14T17:17:13.794;601
2023-03-14T17:17:14.395;580
2023-03-14T17:17:14.975;565
2023-03-14T17:17:15.540;553
2023-03-14T17:17:16.093;542
2023-03-14T17:17:16.635;535
2023-03-14T17:17:17.170;534
2023-03-14T17:17:17.704;526
2023-03-14T17:17:18.230;521
2023-03-14T17:17:18.751;514
2023-03-14T17:17:19.265;513
2023-03-14T17:17:19.778;519
2023-03-14T17:17:20.297;530
2023-03-14T17:17:20.827;555
2023-03-14T17:17:21.382;561
2023-03-14T17:17:21.943;640
2023-03-14T17:17:22.583;670
2023-03-14T17:17:23.253;661
2023-03-14T17:17:23.914;628
2023-03-14T17:17:24.542;604
2023-03-14T17:17:25.146;583
2023-03-14T17:17:25.729;557
2023-03-14T17:17:26.286;533
2023-03-14T17:17:26.819;522
