Phone timestamp;RR-interval [ms]
2023-03-11T11:17:16.438;500
2023-03-11T11:17:16.938;499
2023-03-11T11:17:17.437;498
2023-03-11T11:17:17.935;989
2023-03-11T11:17:18.924;488
2023-03-11T11:17:19.412;489
2023-03-11T11:17:19.901;486
2023-03-11T11:17:20.387;488
2023-03-11T11:17:20.875;489
2023-03-11T11:17:21.364;491
2023-03-11T11:17:21.855;491
2023-03-11T11:17:22.346;492
2023-03-11T11:17:22.838;483
2023-03-11T11:17:23.321;482
2023-03-11T11:17:23.803;476
2023-03-11T11:17:24.279;468
2023-03-11T11:17:24.747;466
2023-03-11T11:17:25.213;462
2023-03-11T11:17:25.675;466
2023-03-11T11:17:26.141;460
2023-03-11T11:17:26.601;462
2023-03-11T11:17:27.063;461
2023-03-11T11:17:27.524;455
2023-03-11T11:17:27.979;450
2023-03-11T11:17:28.429;453
2023-03-11T11:17:28.882;450
2023-03-11T11:17:29.332;447
2023-03-11T11:17:29.779;444
2023-03-11T11:17:30.223;441
2023-03-11T11:17:30.664;438
2023-03-11T11:17:31.102;432
2023-03-11T11:17:31.534;431
2023-03-11T11:17:31.965;427
2023-03-11T11:17:32.392;420
2023-03-11T11:17:32.812;419
2023-03-11T11:17:33.231;414
2023-03-11T11:17:33.645;412
2023-03-11T11:17:34.057;411
2023-03-11T11:17:34.468;406
2023-03-11T11:17:34.874;403
2023-03-11T11:17:35.277;401
2023-03-11T11:17:35.678;399
2023-03-11T11:17:36.077;394
2023-03-11T11:17:36.471;396
2023-03-11T11:17:36.867;396
2023-03-11T11:17:37.263;395
2023-03-11T11:17:37.658;385
2023-03-11T11:17:38.043;389
2023-03-11T11:17:38.432;393
2023-03-11T11:17:38.825;386
2023-03-11T11:17:39.211;386
2023-03-11T11:17:39.597;384
2023-03-11T11:17:39.981;380
2023-03-11T11:17:40.361;381
2023-03-11T11:17:40.742;383
2023-03-11T11:17:41.125;381
2023-03-11T11:17:41.506;378
2023-03-11T11:17:41.884;377
2023-03-11T11:17:42.261;378
2023-03-11T11:17:42.639;377
2023-03-11T11:17:43.016;375
2023-03-11T11:17:43.391;375
2023-03-11T11:17:43.766;373
2023-03-11T11:17:44.139;375
2023-03-11T11:17:44.514;373
2023-03-11T11:17:44.887;371
2023-03-11T11:17:45.258;370
2023-03-11T11:17:45.628;371
2023-03-11T11:17:45.999;369
2023-03-11T11:17:46.368;367
2023-03-11T11:17:46.735;368
2023-03-11T11:17:47.103;368
2023-03-11T11:17:47.471;368
2023-03-11T11:17:47.839;364
2023-03-11T11:17:48.203;365
2023-03-11T11:17:48.568;367
2023-03-11T11:17:48.935;367
2023-03-11T11:17:49.302;365
2023-03-11T11:17:49.667;363
2023-03-11T11:17:50.030;361
2023-03-11T11:17:50.391;367
2023-03-11T11:17:50.758;366
2023-03-11T11:17:51.124;363
2023-03-11T11:17:51.487;364
2023-03-11T11:17:51.851;360
2023-03-11T11:17:52.211;365
2023-03-11T11:17:52.576;367
2023-03-11T11:17:52.943;366
2023-03-11T11:17:53.309;363
2023-03-11T11:17:53.672;364
2023-03-11T11:17:54.036;361
2023-03-11T11:17:54.397;362
2023-03-11T11:17:54.759;367
2023-03-11T11:17:55.126;362
2023-03-11T11:17:55.488;363
2023-03-11T11:17:55.851;360
2023-03-11T11:17:56.211;357
2023-03-11T11:17:56.568;362
2023-03-11T11:17:56.930;363
2023-03-11T11:17:57.293;361
2023-03-11T11:17:57.654;358
2023-03-11T11:17:58.012;360
2023-03-11T11:17:58.372;361
2023-03-11T11:17:58.733;359
2023-03-11T11:17:59.092;358
2023-03-11T11:17:59.450;361
2023-03-11T11:17:59.811;360
2023-03-11T11:18:00.171;358
2023-03-11T11:18:00.529;358
2023-03-11T11:18:00.887;360
2023-03-11T11:18:01.247;357
2023-03-11T11:18:01.604;359
2023-03-11T11:18:01.963;357
2023-03-11T11:18:02.320;356
2023-03-11T11:18:02.676;355
2023-03-11T11:18:03.031;357
2023-03-11T11:18:03.388;360
