Phone timestamp;RR-interval [ms]
2023-02-10T16:14:36.108;501
2023-02-10T16:14:36.609;508
2023-02-10T16:14:37.117;521
2023-02-10T16:14:37.638;524
2023-02-10T16:14:38.162;514
2023-02-10T16:14:38.676;517
2023-02-10T16:14:39.193;511
2023-02-10T16:14:39.704;505
2023-02-10T16:14:40.209;510
2023-02-10T16:14:40.719;513
2023-02-10T16:14:41.232;511
2023-02-10T16:14:41.743;521
2023-02-10T16:14:42.264;513
2023-02-10T16:14:42.777;512
2023-02-10T16:14:43.289;509
2023-02-10T16:14:43.798;502
2023-02-10T16:14:44.300;517
2023-02-10T16:14:44.817;516
2023-02-10T16:14:45.333;516
2023-02-10T16:14:45.849;530
2023-02-10T16:14:46.379;535
2023-02-10T16:14:46.914;533
2023-02-10T16:14:47.447;527
2023-02-10T16:14:47.974;517
2023-02-10T16:14:48.491;505
2023-02-10T16:14:48.996;499
2023-02-10T16:14:49.495;489
2023-02-10T16:14:49.984;480
2023-02-10T16:14:50.464;472
2023-02-10T16:14:50.936;458
2023-02-10T16:14:51.394;456
2023-02-10T16:14:51.850;450
2023-02-10T16:14:52.300;446
2023-02-10T16:14:52.746;443
2023-02-10T16:14:53.189;448
2023-02-10T16:14:53.637;441
2023-02-10T16:14:54.078;439
2023-02-10T16:14:54.517;443
2023-02-10T16:14:54.960;436
2023-02-10T16:14:55.396;434
2023-02-10T16:14:55.830;427
2023-02-10T16:14:56.257;428
2023-02-10T16:14:56.685;426
2023-02-10T16:14:57.111;420
2023-02-10T16:14:57.531;416
2023-02-10T16:14:57.947;416
2023-02-10T16:14:58.363;412
2023-02-10T16:14:58.775;408
2023-02-10T16:14:59.183;408
2023-02-10T16:14:59.591;408
2023-02-10T16:14:59.999;401
2023-02-10T16:15:00.400;399
2023-02-10T16:15:00.799;401
2023-02-10T16:15:01.200;397
2023-02-10T16:15:01.597;390
2023-02-10T16:15:01.987;395
2023-02-10T16:15:02.382;391
2023-02-10T16:15:02.773;387
2023-02-10T16:15:03.160;382
2023-02-10T16:15:03.542;382
2023-02-10T16:15:03.924;379
2023-02-10T16:15:04.303;381
2023-02-10T16:15:04.684;374
2023-02-10T16:15:05.058;377
2023-02-10T16:15:05.435;370
2023-02-10T16:15:05.805;372
2023-02-10T16:15:06.177;371
2023-02-10T16:15:06.548;369
2023-02-10T16:15:06.917;367
2023-02-10T16:15:07.284;362
2023-02-10T16:15:07.646;365
2023-02-10T16:15:08.011;363
2023-02-10T16:15:08.374;362
2023-02-10T16:15:08.736;362
2023-02-10T16:15:09.098;361
2023-02-10T16:15:09.459;361
2023-02-10T16:15:09.820;363
2023-02-10T16:15:10.183;358
2023-02-10T16:15:10.541;358
2023-02-10T16:15:10.899;358
2023-02-10T16:15:11.257;359
2023-02-10T16:15:11.616;359
2023-02-10T16:15:11.975;355
2023-02-10T16:15:12.330;357
2023-02-10T16:15:12.687;354
2023-02-10T16:15:13.041;358
2023-02-10T16:15:13.399;357
2023-02-10T16:15:13.756;356
2023-02-10T16:15:14.112;355
2023-02-10T16:15:14.467;355
2023-02-10T16:15:14.822;357
2023-02-10T16:15:15.179;360
2023-02-10T16:15:15.539;356
2023-02-10T16:15:15.895;354
2023-02-10T16:15:16.249;354
2023-02-10T16:15:16.603;356
2023-02-10T16:15:16.959;355
2023-02-10T16:15:17.314;354
2023-02-10T16:15:17.668;355
2023-02-10T16:15:18.023;358
2023-02-10T16:15:18.381;357
2023-02-10T16:15:18.738;354
2023-02-10T16:15:19.092;358
2023-02-10T16:15:19.450;354
2023-02-10T16:15:19.804;355
2023-02-10T16:15:20.159;356
2023-02-10T16:15:20.515;356
2023-02-10T16:15:20.871;356
2023-02-10T16:15:21.227;352
2023-02-10T16:15:21.579;355
2023-02-10T16:15:21.934;355
2023-02-10T16:15:22.289;355
2023-02-10T16:15:22.644;355
2023-02-10T16:15:22.999;356
2023-02-10T16:15:23.355;356
2023-02-10T16:15:23.711;354
2023-02-10T16:15:24.065;355
2023-02-10T16:15:24.420;354
2023-02-10T16:15:24.774;354
2023-02-10T16:15:25.128;354
2023-02-10T16:15:25.482;355
2023-02-10T16:15:25.837;356
2023-02-10T16:15:26.193;358
2023-02-10T16:15:26.551;358
2023-02-10T16:15:26.909;356
2023-02-10T16:15:27.265;357
2023-02-10T16:15:27.622;357
2023-02-10T16:15:27.979;356
2023-02-10T16:15:28.335;359
2023-02-10T16:15:28.694;359
2023-02-10T16:15:29.053;359
2023-02-10T16:15:29.412;359
2023-02-10T16:15:29.771;362
2023-02-10T16:15:30.133;359
2023-02-10T16:15:30.492;361
2023-02-10T16:15:30.853;365
2023-02-10T16:15:31.218;364
2023-02-10T16:15:31.582;362
2023-02-10T16:15:31.944;361
2023-02-10T16:15:32.305;363
2023-02-10T16:15:32.668;366
2023-02-10T16:15:33.034;363
2023-02-10T16:15:33.397;364
2023-02-10T16:15:33.761;361
