Phone timestamp;RR-interval [ms]
2023-03-19T12:41:11.024;532
2023-03-19T12:41:11.556;529
2023-03-19T12:41:12.085;524
2023-03-19T12:41:12.609;523
2023-03-19T12:41:13.132;533
2023-03-19T12:41:13.665;542
2023-03-19T12:41:14.207;552
2023-03-19T12:41:14.759;560
2023-03-19T12:41:15.319;567
2023-03-19T12:41:15.886;559
2023-03-19T12:41:16.445;552
2023-03-19T12:41:16.997;544
2023-03-19T12:41:17.541;537
2023-03-19T12:41:18.078;521
2023-03-19T12:41:18.599;517
2023-03-19T12:41:19.116;515
2023-03-19T12:41:19.631;514
2023-03-19T12:41:20.145;515
2023-03-19T12:41:20.660;514
2023-03-19T12:41:21.174;514
2023-03-19T12:41:21.688;516
2023-03-19T12:41:22.204;506
2023-03-19T12:41:22.710;507
2023-03-19T12:41:23.217;509
2023-03-19T12:41:23.726;510
2023-03-19T12:41:24.236;497
2023-03-19T12:41:24.733;493
2023-03-19T12:41:25.226;494
2023-03-19T12:41:25.720;491
2023-03-19T12:41:26.211;480
2023-03-19T12:41:26.691;479
2023-03-19T12:41:27.170;481
2023-03-19T12:41:27.651;474
2023-03-19T12:41:28.125;465
2023-03-19T12:41:28.590;464
2023-03-19T12:41:29.054;463
2023-03-19T12:41:29.517;455
2023-03-19T12:41:29.972;449
2023-03-19T12:41:30.421;447
2023-03-19T12:41:30.868;448
2023-03-19T12:41:31.316;440
2023-03-19T12:41:31.756;438
2023-03-19T12:41:32.194;441
2023-03-19T12:41:32.635;435
2023-03-19T12:41:33.070;432
2023-03-19T12:41:33.502;434
2023-03-19T12:41:33.936;434
2023-03-19T12:41:34.370;431
2023-03-19T12:41:34.801;426
2023-03-19T12:41:35.227;431
2023-03-19T12:41:35.658;429
2023-03-19T12:41:36.087;430
2023-03-19T12:41:36.517;429
2023-03-19T12:41:36.946;428
2023-03-19T12:41:37.374;432
2023-03-19T12:41:37.806;430
2023-03-19T12:41:38.236;428
2023-03-19T12:41:38.664;433
2023-03-19T12:41:39.097;434
2023-03-19T12:41:39.531;429
2023-03-19T12:41:39.960;432
2023-03-19T12:41:40.392;435
2023-03-19T12:41:40.827;441
2023-03-19T12:41:41.268;440
2023-03-19T12:41:41.708;438
2023-03-19T12:41:42.146;432
2023-03-19T12:41:42.578;434
2023-03-19T12:41:43.012;427
2023-03-19T12:41:43.439;426
2023-03-19T12:41:43.865;423
2023-03-19T12:41:44.288;424
2023-03-19T12:41:44.712;421
2023-03-19T12:41:45.133;415
2023-03-19T12:41:45.548;421
2023-03-19T12:41:45.969;418
2023-03-19T12:41:46.387;416
2023-03-19T12:41:46.803;410
2023-03-19T12:41:47.213;414
2023-03-19T12:41:47.627;411
2023-03-19T12:41:48.038;409
2023-03-19T12:41:48.447;410
2023-03-19T12:41:48.857;405
2023-03-19T12:41:49.262;406
2023-03-19T12:41:49.668;405
2023-03-19T12:41:50.073;405
2023-03-19T12:41:50.478;400
2023-03-19T12:41:50.878;401
2023-03-19T12:41:51.279;403
2023-03-19T12:41:51.682;401
2023-03-19T12:41:52.083;398
2023-03-19T12:41:52.481;398
2023-03-19T12:41:52.879;399
2023-03-19T12:41:53.278;397
2023-03-19T12:41:53.675;393
2023-03-19T12:41:54.068;397
2023-03-19T12:41:54.465;397
2023-03-19T12:41:54.862;397
2023-03-19T12:41:55.259;398
2023-03-19T12:41:55.657;399
2023-03-19T12:41:56.056;399
2023-03-19T12:41:56.455;401
2023-03-19T12:41:56.856;402
2023-03-19T12:41:57.258;402
2023-03-19T12:41:57.660;403
2023-03-19T12:41:58.063;400
