Phone timestamp;RR-interval [ms]
2023-03-18T13:31:28.123;502
2023-03-18T13:31:28.625;507
2023-03-18T13:31:29.132;513
2023-03-18T13:31:29.645;514
2023-03-18T13:31:30.159;1028
2023-03-18T13:31:31.187;512
2023-03-18T13:31:31.699;512
2023-03-18T13:31:32.211;509
2023-03-18T13:31:32.720;504
2023-03-18T13:31:33.224;502
2023-03-18T13:31:33.726;500
2023-03-18T13:31:34.226;500
2023-03-18T13:31:34.726;502
2023-03-18T13:31:35.228;502
2023-03-18T13:31:35.730;505
2023-03-18T13:31:36.235;507
2023-03-18T13:31:36.742;507
2023-03-18T13:31:37.249;510
2023-03-18T13:31:37.759;509
2023-03-18T13:31:38.268;508
2023-03-18T13:31:38.776;505
2023-03-18T13:31:39.281;502
2023-03-18T13:31:39.783;500
2023-03-18T13:31:40.283;500
2023-03-18T13:31:40.783;503
2023-03-18T13:31:41.286;501
2023-03-18T13:31:41.787;501
2023-03-18T13:31:42.288;503
2023-03-18T13:31:42.791;506
2023-03-18T13:31:43.297;506
2023-03-18T13:31:43.803;506
2023-03-18T13:31:44.309;509
2023-03-18T13:31:44.818;508
2023-03-18T13:31:45.326;506
2023-03-18T13:31:45.832;501
2023-03-18T13:31:46.333;497
2023-03-18T13:31:46.830;495
2023-03-18T13:31:47.325;491
2023-03-18T13:31:47.816;489
2023-03-18T13:31:48.305;488
2023-03-18T13:31:48.793;488
2023-03-18T13:31:49.281;493
2023-03-18T13:31:49.774;496
2023-03-18T13:31:50.270;501
2023-03-18T13:31:50.771;506
2023-03-18T13:31:51.277;506
2023-03-18T13:31:51.783;507
2023-03-18T13:31:52.290;509
2023-03-18T13:31:52.799;507
2023-03-18T13:31:53.306;504
2023-03-18T13:31:53.810;498
2023-03-18T13:31:54.308;494
2023-03-18T13:31:54.802;491
2023-03-18T13:31:55.293;488
2023-03-18T13:31:55.781;491
2023-03-18T13:31:56.272;497
2023-03-18T13:31:56.769;503
2023-03-18T13:31:57.272;507
2023-03-18T13:31:57.779;505
2023-03-18T13:31:58.284;506
2023-03-18T13:31:58.790;509
2023-03-18T13:31:59.299;511
2023-03-18T13:31:59.810;512
2023-03-18T13:32:00.322;510
2023-03-18T13:32:00.832;510
2023-03-18T13:32:01.342;506
2023-03-18T13:32:01.848;506
2023-03-18T13:32:02.354;504
2023-03-18T13:32:02.858;502
2023-03-18T13:32:03.360;501
2023-03-18T13:32:03.861;500
2023-03-18T13:32:04.361;500
2023-03-18T13:32:04.861;499
2023-03-18T13:32:05.360;506
2023-03-18T13:32:05.866;509
2023-03-18T13:32:06.375;518
2023-03-18T13:32:06.893;520
2023-03-18T13:32:07.413;518
2023-03-18T13:32:07.931;516
2023-03-18T13:32:08.447;521
2023-03-18T13:32:08.968;523
2023-03-18T13:32:09.491;526
2023-03-18T13:32:10.017;529
2023-03-18T13:32:10.546;524
2023-03-18T13:32:11.070;522
2023-03-18T13:32:11.592;523
2023-03-18T13:32:12.115;518
2023-03-18T13:32:12.633;514
2023-03-18T13:32:13.147;514
2023-03-18T13:32:13.661;514
2023-03-18T13:32:14.175;516
2023-03-18T13:32:14.691;514
2023-03-18T13:32:15.205;511
2023-03-18T13:32:15.716;508
2023-03-18T13:32:16.224;507
2023-03-18T13:32:16.731;505
2023-03-18T13:32:17.236;508
2023-03-18T13:32:17.744;507
2023-03-18T13:32:18.251;496
2023-03-18T13:32:18.747;498
2023-03-18T13:32:19.245;500
2023-03-18T13:32:19.745;490
2023-03-18T13:32:20.235;504
2023-03-18T13:32:20.739;502
2023-03-18T13:32:21.241;493
2023-03-18T13:32:21.734;501
2023-03-18T13:32:22.235;506
2023-03-18T13:32:22.741;494
2023-03-18T13:32:23.235;500
2023-03-18T13:32:23.735;501
2023-03-18T13:32:24.236;498
2023-03-18T13:32:24.734;494
2023-03-18T13:32:25.228;485
2023-03-18T13:32:25.713;494
2023-03-18T13:32:26.207;495
2023-03-18T13:32:26.702;481
2023-03-18T13:32:27.183;488
2023-03-18T13:32:27.671;487
2023-03-18T13:32:28.158;477
2023-03-18T13:32:28.635;474
2023-03-18T13:32:29.109;475
2023-03-18T13:32:29.584;472
2023-03-18T13:32:30.056;464
2023-03-18T13:32:30.520;461
2023-03-18T13:32:30.981;462
2023-03-18T13:32:31.443;462
2023-03-18T13:32:31.905;453
2023-03-18T13:32:32.358;455
2023-03-18T13:32:32.813;453
2023-03-18T13:32:33.266;453
2023-03-18T13:32:33.719;440
2023-03-18T13:32:34.159;442
2023-03-18T13:32:34.601;443
2023-03-18T13:32:35.044;438
2023-03-18T13:32:35.482;438
2023-03-18T13:32:35.920;439
2023-03-18T13:32:36.359;431
2023-03-18T13:32:36.790;436
2023-03-18T13:32:37.226;436
2023-03-18T13:32:37.662;432
2023-03-18T13:32:38.094;426
2023-03-18T13:32:38.520;431
2023-03-18T13:32:38.951;429
2023-03-18T13:32:39.380;427
2023-03-18T13:32:39.807;421
2023-03-18T13:32:40.228;424
2023-03-18T13:32:40.652;424
2023-03-18T13:32:41.076;422
2023-03-18T13:32:41.498;418
2023-03-18T13:32:41.916;418
2023-03-18T13:32:42.334;419
2023-03-18T13:32:42.753;415
2023-03-18T13:32:43.168;419
2023-03-18T13:32:43.587;414
2023-03-18T13:32:44.001;412
