Phone timestamp;RR-interval [ms]
2023-02-11T18:04:34.229;557
2023-02-11T18:04:34.786;549
2023-02-11T18:04:35.335;526
2023-02-11T18:04:35.861;520
2023-02-11T18:04:36.381;513
2023-02-11T18:04:36.894;508
2023-02-11T18:04:37.402;505
2023-02-11T18:04:37.907;506
2023-02-11T18:04:38.413;511
2023-02-11T18:04:38.924;515
2023-02-11T18:04:39.439;521
2023-02-11T18:04:39.960;521
2023-02-11T18:04:40.481;521
2023-02-11T18:04:41.002;519
2023-02-11T18:04:41.521;509
2023-02-11T18:04:42.030;501
2023-02-11T18:04:42.531;498
2023-02-11T18:04:43.029;496
2023-02-11T18:04:43.525;500
2023-02-11T18:04:44.025;514
2023-02-11T18:04:44.539;540
2023-02-11T18:04:45.079;561
2023-02-11T18:04:45.640;563
2023-02-11T18:04:46.203;523
2023-02-11T18:04:46.726;539
2023-02-11T18:04:47.265;532
2023-02-11T18:04:47.797;505
2023-02-11T18:04:48.302;509
2023-02-11T18:04:48.811;511
2023-02-11T18:04:49.322;493
2023-02-11T18:04:49.815;497
2023-02-11T18:04:50.312;496
2023-02-11T18:04:50.808;491
2023-02-11T18:04:51.299;489
2023-02-11T18:04:51.788;491
2023-02-11T18:04:52.279;483
2023-02-11T18:04:52.762;486
2023-02-11T18:04:53.248;488
2023-02-11T18:04:53.736;489
2023-02-11T18:04:54.225;478
2023-02-11T18:04:54.703;485
2023-02-11T18:04:55.188;480
2023-02-11T18:04:55.668;485
2023-02-11T18:04:56.153;467
2023-02-11T18:04:56.620;471
2023-02-11T18:04:57.091;472
2023-02-11T18:04:57.563;461
2023-02-11T18:04:58.024;466
2023-02-11T18:04:58.490;469
2023-02-11T18:04:58.959;458
2023-02-11T18:04:59.417;457
2023-02-11T18:04:59.874;459
2023-02-11T18:05:00.333;450
2023-02-11T18:05:00.783;449
2023-02-11T18:05:01.232;453
2023-02-11T18:05:01.685;444
2023-02-11T18:05:02.129;439
2023-02-11T18:05:02.568;444
2023-02-11T18:05:03.012;441
2023-02-11T18:05:03.453;433
2023-02-11T18:05:03.886;436
2023-02-11T18:05:04.322;436
2023-02-11T18:05:04.758;426
2023-02-11T18:05:05.184;427
2023-02-11T18:05:05.611;425
2023-02-11T18:05:06.036;423
2023-02-11T18:05:06.459;423
2023-02-11T18:05:06.882;422
2023-02-11T18:05:07.304;421
2023-02-11T18:05:07.725;413
2023-02-11T18:05:08.138;421
2023-02-11T18:05:08.559;419
2023-02-11T18:05:08.978;414
2023-02-11T18:05:09.392;414
2023-02-11T18:05:09.806;417
2023-02-11T18:05:10.223;418
2023-02-11T18:05:10.641;412
2023-02-11T18:05:11.053;408
2023-02-11T18:05:11.461;414
2023-02-11T18:05:11.875;412
2023-02-11T18:05:12.287;412
2023-02-11T18:05:12.699;406
2023-02-11T18:05:13.105;409
2023-02-11T18:05:13.514;410
2023-02-11T18:05:13.924;408
2023-02-11T18:05:14.332;410
2023-02-11T18:05:14.742;407
2023-02-11T18:05:15.149;407
2023-02-11T18:05:15.556;406
2023-02-11T18:05:15.962;404
2023-02-11T18:05:16.366;407
2023-02-11T18:05:16.773;405
2023-02-11T18:05:17.178;406
2023-02-11T18:05:17.584;406
2023-02-11T18:05:17.990;405
2023-02-11T18:05:18.395;405
2023-02-11T18:05:18.800;404
2023-02-11T18:05:19.204;403
2023-02-11T18:05:19.607;402
2023-02-11T18:05:20.009;402
2023-02-11T18:05:20.411;403
2023-02-11T18:05:20.814;398
2023-02-11T18:05:21.212;397
2023-02-11T18:05:21.609;396
2023-02-11T18:05:22.005;394
2023-02-11T18:05:22.399;396
2023-02-11T18:05:22.795;396
2023-02-11T18:05:23.191;396
2023-02-11T18:05:23.587;400
2023-02-11T18:05:23.987;396
2023-02-11T18:05:24.383;396
2023-02-11T18:05:24.779;399
2023-02-11T18:05:25.178;397
2023-02-11T18:05:25.575;399
2023-02-11T18:05:25.974;399
2023-02-11T18:05:26.373;399
2023-02-11T18:05:26.772;400
2023-02-11T18:05:27.172;399
2023-02-11T18:05:27.571;400
2023-02-11T18:05:27.971;401
2023-02-11T18:05:28.372;401
