Phone timestamp;RR-interval [ms]
2023-03-18T12:01:30.370;780
2023-03-18T12:01:31.150;772
2023-03-18T12:01:31.922;739
2023-03-18T12:01:32.661;678
2023-03-18T12:01:33.339;629
2023-03-18T12:01:33.968;615
2023-03-18T12:01:34.583;648
2023-03-18T12:01:35.231;686
2023-03-18T12:01:35.917;695
2023-03-18T12:01:36.612;656
2023-03-18T12:01:37.268;668
2023-03-18T12:01:37.936;721
2023-03-18T12:01:38.657;743
2023-03-18T12:01:39.400;684
2023-03-18T12:01:40.084;670
2023-03-18T12:01:40.754;608
2023-03-18T12:01:41.362;595
2023-03-18T12:01:41.957;562
2023-03-18T12:01:42.519;530
2023-03-18T12:01:43.049;523
2023-03-18T12:01:43.572;526
2023-03-18T12:01:44.098;516
2023-03-18T12:01:44.614;518
2023-03-18T12:01:45.132;508
2023-03-18T12:01:45.640;515
2023-03-18T12:01:46.155;511
2023-03-18T12:01:46.666;503
2023-03-18T12:01:47.169;498
2023-03-18T12:01:47.667;506
2023-03-18T12:01:48.173;499
2023-03-18T12:01:48.672;488
2023-03-18T12:01:49.160;487
2023-03-18T12:01:49.647;489
2023-03-18T12:01:50.136;479
2023-03-18T12:01:50.615;473
2023-03-18T12:01:51.088;471
2023-03-18T12:01:51.559;472
2023-03-18T12:01:52.031;461
2023-03-18T12:01:52.492;462
2023-03-18T12:01:52.954;455
2023-03-18T12:01:53.409;452
2023-03-18T12:01:53.861;448
2023-03-18T12:01:54.309;445
2023-03-18T12:01:54.754;440
2023-03-18T12:01:55.194;444
2023-03-18T12:01:55.638;439
2023-03-18T12:01:56.077;436
2023-03-18T12:01:56.513;439
2023-03-18T12:01:56.952;437
2023-03-18T12:01:57.389;425
2023-03-18T12:01:57.814;430
2023-03-18T12:01:58.244;433
2023-03-18T12:01:58.677;427
2023-03-18T12:01:59.104;434
2023-03-18T12:01:59.538;431
2023-03-18T12:01:59.969;429
2023-03-18T12:02:00.398;436
2023-03-18T12:02:00.834;436
2023-03-18T12:02:01.270;438
2023-03-18T12:02:01.708;439
2023-03-18T12:02:02.147;438
2023-03-18T12:02:02.585;439
2023-03-18T12:02:03.024;440
2023-03-18T12:02:03.464;438
2023-03-18T12:02:03.902;437
2023-03-18T12:02:04.339;438
2023-03-18T12:02:04.777;440
2023-03-18T12:02:05.217;436
2023-03-18T12:02:05.653;437
2023-03-18T12:02:06.090;439
2023-03-18T12:02:06.529;441
2023-03-18T12:02:06.970;448
2023-03-18T12:02:07.418;455
2023-03-18T12:02:07.873;454
2023-03-18T12:02:08.327;454
2023-03-18T12:02:08.781;451
2023-03-18T12:02:09.232;452
2023-03-18T12:02:09.684;453
2023-03-18T12:02:10.137;454
2023-03-18T12:02:10.591;456
2023-03-18T12:02:11.047;454
2023-03-18T12:02:11.501;454
2023-03-18T12:02:11.955;454
2023-03-18T12:02:12.409;454
2023-03-18T12:02:12.863;452
2023-03-18T12:02:13.315;454
2023-03-18T12:02:13.769;454
2023-03-18T12:02:14.223;455
2023-03-18T12:02:14.678;450
2023-03-18T12:02:15.128;448
2023-03-18T12:02:15.576;447
2023-03-18T12:02:16.023;446
2023-03-18T12:02:16.469;447
2023-03-18T12:02:16.916;450
2023-03-18T12:02:17.366;449
2023-03-18T12:02:17.815;449
2023-03-18T12:02:18.264;444
2023-03-18T12:02:18.708;444
2023-03-18T12:02:19.152;440
2023-03-18T12:02:19.592;438
2023-03-18T12:02:20.030;437
2023-03-18T12:02:20.467;434
2023-03-18T12:02:20.901;434
2023-03-18T12:02:21.335;432
2023-03-18T12:02:21.767;432
2023-03-18T12:02:22.199;438
2023-03-18T12:02:22.637;438
2023-03-18T12:02:23.075;434
2023-03-18T12:02:23.509;436
2023-03-18T12:02:23.945;437
2023-03-18T12:02:24.382;438
2023-03-18T12:02:24.820;441
2023-03-18T12:02:25.261;444
2023-03-18T12:02:25.705;441
2023-03-18T12:02:26.146;445
2023-03-18T12:02:26.591;446
2023-03-18T12:02:27.037;449
2023-03-18T12:02:27.486;451
2023-03-18T12:02:27.937;454
2023-03-18T12:02:28.391;458
2023-03-18T12:02:28.849;454
2023-03-18T12:02:29.303;453
2023-03-18T12:02:29.756;453
2023-03-18T12:02:30.209;450
2023-03-18T12:02:30.659;450
2023-03-18T12:02:31.109;451
2023-03-18T12:02:31.560;453
2023-03-18T12:02:32.013;457
2023-03-18T12:02:32.470;459
2023-03-18T12:02:32.929;459
2023-03-18T12:02:33.388;458
2023-03-18T12:02:33.846;456
2023-03-18T12:02:34.302;451
2023-03-18T12:02:34.753;453
2023-03-18T12:02:35.206;446
2023-03-18T12:02:35.652;444
2023-03-18T12:02:36.096;445
2023-03-18T12:02:36.541;457
2023-03-18T12:02:36.998;446
2023-03-18T12:02:37.444;449
2023-03-18T12:02:37.893;453
2023-03-18T12:02:38.346;460
2023-03-18T12:02:38.806;468
2023-03-18T12:02:39.274;472
2023-03-18T12:02:39.746;472
2023-03-18T12:02:40.218;470
2023-03-18T12:02:40.688;471
2023-03-18T12:02:41.159;472
2023-03-18T12:02:41.631;472
2023-03-18T12:02:42.103;473
2023-03-18T12:02:42.576;475
2023-03-18T12:02:43.051;474
2023-03-18T12:02:43.525;471
2023-03-18T12:02:43.996;467
2023-03-18T12:02:44.463;464
2023-03-18T12:02:44.927;465
2023-03-18T12:02:45.392;469
2023-03-18T12:02:45.861;470
2023-03-18T12:02:46.331;475
2023-03-18T12:02:46.806;477
2023-03-18T12:02:47.283;477
