Phone timestamp;RR-interval [ms]
2023-03-18T11:24:28.414;534
2023-03-18T11:24:28.948;513
2023-03-18T11:24:29.461;515
2023-03-18T11:24:29.976;516
2023-03-18T11:24:30.492;509
2023-03-18T11:24:31.001;518
2023-03-18T11:24:31.519;498
2023-03-18T11:24:32.017;502
2023-03-18T11:24:32.519;500
2023-03-18T11:24:33.019;519
2023-03-18T11:24:33.538;509
2023-03-18T11:24:34.047;500
2023-03-18T11:24:34.547;494
2023-03-18T11:24:35.041;494
2023-03-18T11:24:35.535;484
2023-03-18T11:24:36.019;486
2023-03-18T11:24:36.505;491
2023-03-18T11:24:36.996;499
2023-03-18T11:24:37.495;483
2023-03-18T11:24:37.978;479
2023-03-18T11:24:38.457;485
2023-03-18T11:24:38.942;480
2023-03-18T11:24:39.422;479
2023-03-18T11:24:39.901;479
2023-03-18T11:24:40.380;479
2023-03-18T11:24:40.859;484
2023-03-18T11:24:41.343;476
2023-03-18T11:24:41.819;463
2023-03-18T11:24:42.282;452
2023-03-18T11:24:42.734;455
2023-03-18T11:24:43.189;455
2023-03-18T11:24:43.644;450
2023-03-18T11:24:44.094;450
2023-03-18T11:24:44.544;450
2023-03-18T11:24:44.994;455
2023-03-18T11:24:45.449;454
2023-03-18T11:24:45.903;440
2023-03-18T11:24:46.343;446
2023-03-18T11:24:46.789;447
2023-03-18T11:24:47.236;449
2023-03-18T11:24:47.685;442
2023-03-18T11:24:48.127;438
2023-03-18T11:24:48.565;436
2023-03-18T11:24:49.001;438
2023-03-18T11:24:49.439;434
2023-03-18T11:24:49.873;436
2023-03-18T11:24:50.309;438
2023-03-18T11:24:50.747;434
2023-03-18T11:24:51.181;434
2023-03-18T11:24:51.615;437
2023-03-18T11:24:52.052;437
2023-03-18T11:24:52.489;440
2023-03-18T11:24:52.929;441
2023-03-18T11:24:53.370;439
2023-03-18T11:24:53.809;438
2023-03-18T11:24:54.247;440
2023-03-18T11:24:54.687;440
2023-03-18T11:24:55.127;440
2023-03-18T11:24:55.567;438
2023-03-18T11:24:56.005;438
2023-03-18T11:24:56.443;438
2023-03-18T11:24:56.881;438
2023-03-18T11:24:57.319;437
2023-03-18T11:24:57.756;434
2023-03-18T11:24:58.190;434
2023-03-18T11:24:58.624;432
2023-03-18T11:24:59.056;432
2023-03-18T11:24:59.488;431
2023-03-18T11:24:59.919;432
2023-03-18T11:25:00.351;432
2023-03-18T11:25:00.783;433
2023-03-18T11:25:01.216;436
2023-03-18T11:25:01.652;435
2023-03-18T11:25:02.087;434
2023-03-18T11:25:02.521;433
2023-03-18T11:25:02.954;433
2023-03-18T11:25:03.387;432
2023-03-18T11:25:03.819;429
2023-03-18T11:25:04.248;429
2023-03-18T11:25:04.677;430
2023-03-18T11:25:05.107;428
2023-03-18T11:25:05.535;430
2023-03-18T11:25:05.965;431
2023-03-18T11:25:06.396;435
2023-03-18T11:25:06.831;432
2023-03-18T11:25:07.263;433
2023-03-18T11:25:07.696;431
2023-03-18T11:25:08.127;432
2023-03-18T11:25:08.559;432
2023-03-18T11:25:08.991;430
2023-03-18T11:25:09.421;429
2023-03-18T11:25:09.850;428
2023-03-18T11:25:10.278;429
2023-03-18T11:25:10.707;430
2023-03-18T11:25:11.137;430
2023-03-18T11:25:11.567;432
2023-03-18T11:25:11.999;431
2023-03-18T11:25:12.430;428
2023-03-18T11:25:12.858;428
2023-03-18T11:25:13.286;427
2023-03-18T11:25:13.713;429
2023-03-18T11:25:14.142;429
2023-03-18T11:25:14.571;428
2023-03-18T11:25:14.999;429
2023-03-18T11:25:15.428;425
2023-03-18T11:25:15.853;426
2023-03-18T11:25:16.279;424
2023-03-18T11:25:16.703;422
2023-03-18T11:25:17.125;426
2023-03-18T11:25:17.551;424
2023-03-18T11:25:17.975;425
2023-03-18T11:25:18.400;425
2023-03-18T11:25:18.825;425
2023-03-18T11:25:19.250;426
2023-03-18T11:25:19.676;426
2023-03-18T11:25:20.102;427
2023-03-18T11:25:20.529;427
2023-03-18T11:25:20.956;427
2023-03-18T11:25:21.383;425
2023-03-18T11:25:21.808;425
2023-03-18T11:25:22.233;422
2023-03-18T11:25:22.655;422
2023-03-18T11:25:23.077;421
2023-03-18T11:25:23.498;420
2023-03-18T11:25:23.918;418
2023-03-18T11:25:24.336;417
2023-03-18T11:25:24.753;419
2023-03-18T11:25:25.172;420
2023-03-18T11:25:25.592;421
2023-03-18T11:25:26.013;419
2023-03-18T11:25:26.432;419
2023-03-18T11:25:26.851;420
2023-03-18T11:25:27.271;419
2023-03-18T11:25:27.690;421
2023-03-18T11:25:28.111;420
2023-03-18T11:25:28.531;424
2023-03-18T11:25:28.955;419
2023-03-18T11:25:29.374;422
2023-03-18T11:25:29.796;422
2023-03-18T11:25:30.218;424
2023-03-18T11:25:30.642;424
2023-03-18T11:25:31.066;426
2023-03-18T11:25:31.492;426
2023-03-18T11:25:31.918;426
2023-03-18T11:25:32.344;423
2023-03-18T11:25:32.767;422
2023-03-18T11:25:33.189;421
2023-03-18T11:25:33.610;421
2023-03-18T11:25:34.031;423
2023-03-18T11:25:34.454;424
2023-03-18T11:25:34.878;425
2023-03-18T11:25:35.303;426
2023-03-18T11:25:35.729;424
2023-03-18T11:25:36.153;423
2023-03-18T11:25:36.576;428
2023-03-18T11:25:37.004;425
2023-03-18T11:25:37.429;428
2023-03-18T11:25:37.857;434
2023-03-18T11:25:38.291;438
