Phone timestamp;RR-interval [ms]
2023-02-11T15:52:36.298;564
2023-02-11T15:52:36.862;566
2023-02-11T15:52:37.428;567
2023-02-11T15:52:37.995;650
2023-02-11T15:52:38.645;616
2023-02-11T15:52:39.261;581
2023-02-11T15:52:39.842;592
2023-02-11T15:52:40.434;659
2023-02-11T15:52:41.093;689
2023-02-11T15:52:41.782;625
2023-02-11T15:52:42.407;589
2023-02-11T15:52:42.996;570
2023-02-11T15:52:43.566;563
2023-02-11T15:52:44.129;544
2023-02-11T15:52:44.673;531
2023-02-11T15:52:45.204;522
2023-02-11T15:52:45.726;527
2023-02-11T15:52:46.253;519
2023-02-11T15:52:46.772;522
2023-02-11T15:52:47.294;525
2023-02-11T15:52:47.819;521
2023-02-11T15:52:48.340;514
2023-02-11T15:52:48.854;516
2023-02-11T15:52:49.370;518
2023-02-11T15:52:49.888;513
2023-02-11T15:52:50.401;508
2023-02-11T15:52:50.909;506
2023-02-11T15:52:51.415;497
2023-02-11T15:52:51.912;497
2023-02-11T15:52:52.409;491
2023-02-11T15:52:52.900;493
2023-02-11T15:52:53.393;483
2023-02-11T15:52:53.876;483
2023-02-11T15:52:54.359;479
2023-02-11T15:52:54.838;479
2023-02-11T15:52:55.317;469
2023-02-11T15:52:55.786;473
2023-02-11T15:52:56.259;470
2023-02-11T15:52:56.729;466
2023-02-11T15:52:57.195;459
2023-02-11T15:52:57.654;463
2023-02-11T15:52:58.117;462
2023-02-11T15:52:58.579;457
2023-02-11T15:52:59.036;455
2023-02-11T15:52:59.491;454
2023-02-11T15:52:59.945;454
2023-02-11T15:53:00.399;454
2023-02-11T15:53:00.853;449
2023-02-11T15:53:01.302;444
2023-02-11T15:53:01.746;447
2023-02-11T15:53:02.193;447
2023-02-11T15:53:02.640;442
2023-02-11T15:53:03.082;446
2023-02-11T15:53:03.528;446
2023-02-11T15:53:03.974;448
2023-02-11T15:53:04.422;442
2023-02-11T15:53:04.864;438
2023-02-11T15:53:05.302;438
2023-02-11T15:53:05.740;443
2023-02-11T15:53:06.183;442
2023-02-11T15:53:06.625;436
2023-02-11T15:53:07.061;439
2023-02-11T15:53:07.500;440
2023-02-11T15:53:07.940;440
2023-02-11T15:53:08.380;440
2023-02-11T15:53:08.820;438
2023-02-11T15:53:09.258;439
2023-02-11T15:53:09.697;441
2023-02-11T15:53:10.138;441
2023-02-11T15:53:10.579;446
2023-02-11T15:53:11.025;448
2023-02-11T15:53:11.473;447
2023-02-11T15:53:11.920;448
2023-02-11T15:53:12.368;450
2023-02-11T15:53:12.818;449
2023-02-11T15:53:13.267;449
2023-02-11T15:53:13.716;442
2023-02-11T15:53:14.158;441
2023-02-11T15:53:14.599;438
2023-02-11T15:53:15.037;435
2023-02-11T15:53:15.472;434
2023-02-11T15:53:15.906;434
2023-02-11T15:53:16.340;431
2023-02-11T15:53:16.771;428
2023-02-11T15:53:17.199;426
2023-02-11T15:53:17.625;423
2023-02-11T15:53:18.048;423
2023-02-11T15:53:18.471;421
2023-02-11T15:53:18.892;418
2023-02-11T15:53:19.310;417
2023-02-11T15:53:19.727;415
2023-02-11T15:53:20.142;413
2023-02-11T15:53:20.555;408
2023-02-11T15:53:20.963;409
2023-02-11T15:53:21.372;406
2023-02-11T15:53:21.778;405
2023-02-11T15:53:22.183;405
2023-02-11T15:53:22.588;404
2023-02-11T15:53:22.992;411
2023-02-11T15:53:23.403;408
2023-02-11T15:53:23.811;412
2023-02-11T15:53:24.223;413
2023-02-11T15:53:24.636;413
2023-02-11T15:53:25.049;415
2023-02-11T15:53:25.464;414
2023-02-11T15:53:25.878;417
2023-02-11T15:53:26.295;421
2023-02-11T15:53:26.716;423
2023-02-11T15:53:27.139;430
2023-02-11T15:53:27.569;433
2023-02-11T15:53:28.002;437
2023-02-11T15:53:28.439;433
2023-02-11T15:53:28.872;437
2023-02-11T15:53:29.309;438
2023-02-11T15:53:29.747;440
2023-02-11T15:53:30.187;442
2023-02-11T15:53:30.629;448
2023-02-11T15:53:31.077;458
2023-02-11T15:53:31.535;467
2023-02-11T15:53:32.002;475
2023-02-11T15:53:32.477;465
2023-02-11T15:53:32.942;469
2023-02-11T15:53:33.411;469
2023-02-11T15:53:33.880;469
2023-02-11T15:53:34.349;465
2023-02-11T15:53:34.814;466
2023-02-11T15:53:35.280;469
2023-02-11T15:53:35.749;475
2023-02-11T15:53:36.224;478
2023-02-11T15:53:36.702;475
2023-02-11T15:53:37.177;476
2023-02-11T15:53:37.653;476
2023-02-11T15:53:38.129;472
2023-02-11T15:53:38.601;467
2023-02-11T15:53:39.068;466
2023-02-11T15:53:39.534;468
2023-02-11T15:53:40.002;464
2023-02-11T15:53:40.466;471
2023-02-11T15:53:40.937;470
2023-02-11T15:53:41.407;468
2023-02-11T15:53:41.875;467
2023-02-11T15:53:42.342;469
2023-02-11T15:53:42.811;476
2023-02-11T15:53:43.287;475
2023-02-11T15:53:43.762;476
2023-02-11T15:53:44.238;471
2023-02-11T15:53:44.709;476
2023-02-11T15:53:45.185;477
2023-02-11T15:53:45.662;479
2023-02-11T15:53:46.141;483
2023-02-11T15:53:46.624;473
2023-02-11T15:53:47.097;469
2023-02-11T15:53:47.566;466
2023-02-11T15:53:48.032;467
2023-02-11T15:53:48.499;479
2023-02-11T15:53:48.978;502
2023-02-11T15:53:49.480;529
